"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,57467,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,49549696,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,284389008,1995
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,12670108,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,117968479,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,29004583,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,302472,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,36371757,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,248799056,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,3446839,1995
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,13259058.999999998,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,5054418,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,707552403,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,85806155,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,119069,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,22966528,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,274978398,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,186232425,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,192068549,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,320400752,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,119861331,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,508311028,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,569031375,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,17781282,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,9718850,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,738234,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,201627,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,225938,1995
