"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,611652,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,445696,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,2365228,1995
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,465861,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,18952027,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,11035799,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,664515,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,5223252,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,2364889,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2093087,1995
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,32258.000000000004,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,34554858,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,400307170,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,1458581,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,198768.00000000003,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,1785647,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,57273515,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,14045685,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,398997945,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,12119867,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,23150313,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,178803328,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,106636468,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,5574798,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,25558990,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,1673792,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,24245949,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,2493210,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,2157699,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,1973639,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,150003,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,393088,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,3497693,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,718951,1995
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,445307,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,421028,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,41900390,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,26111270,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,637749,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,3175401,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,5192705,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,67150,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,2284164,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,3245474,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,1146013,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,4023904,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,575492,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,444080,1995
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,224086,1995
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,86721,1995
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,235247,1995
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,403303,1995
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,880909,1995
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,90158,1995
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,5814,1995
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,627519,1995
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,4832504,1995
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,3604629,1995
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,228354,1995
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,4619346,1995
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,3063827,1995
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,61050048,1995
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,6917828,1995
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,9084675,1995
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,37043546,1995
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,6192880,1995
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,5726340,1995
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,2433003,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,551161,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,4083657,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,490058,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,2556645,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,68090,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,159214,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,8288174,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,110849,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,5724671,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,1809279,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,3504054,1995
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,31727.999999999996,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,484891,1995
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,1042766,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,538916,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,46421,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,3331380,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,2630128986,1995
"Cereals",210,"Rye",21002,"Vegetable Products",2,76191292,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,184450061,1995
"Cereals",210,"Oats",21004,"Vegetable Products",2,42522,1995
"Cereals",210,"Corn",21005,"Vegetable Products",2,687791725,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,473517111,1995
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,576.0000000000001,1995
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,248929,1995
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,4069138,1995
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,1538810,1995
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,2029475,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,2926004,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,1170288,1995
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,2411996,1995
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,12418509,1995
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,30785107,1995
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,51681,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,86509581,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,1892445,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,512849,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,5715744,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,43274331,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,1315004,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,2562348,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,1964218,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,18901985,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,1546527,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,14605130,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,6720458,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,351880,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,313289,1995
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,20737976,1995
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,8188710,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,20877686,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Stuffing Materials",21402,"Vegetable Products",2,844733,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable material for brooms and brushes",21403,"Vegetable Products",2,787206,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,57482258,1995
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,10290284,1995
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,123880286,1995
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,717820,1995
"Animal or vegetable fats, oils, & waxes",315,"Fish oil",31504,"Animal and Vegetable Bi-Products",3,3968130,1995
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,381250,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,2058429,1995
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,985596057,1995
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,12703040,1995
