"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Cote d'Ivoire","afciv","civ",2683.9999999999995,1995
"Africa","af","Gambia","afgmb","gmb",3080,1995
"Africa","af","Morocco","afmar","mar",33796,1995
"Africa","af","Senegal","afsen","sen",1010.9999999999999,1995
"Africa","af","South Africa","afzaf","zaf",913066,1995
"Africa","af","Zimbabwe","afzwe","zwe",49898085,1995
"Asia","as","United Arab Emirates","asare","are",30330,1995
"Asia","as","Cyprus","ascyp","cyp",1894.0000000000002,1995
"Asia","as","Hong Kong","ashkg","hkg",107918408,1995
"Asia","as","Indonesia","asidn","idn",15850432,1995
"Asia","as","India","asind","ind",30187692.000000004,1995
"Asia","as","Iran","asirn","irn",3701,1995
"Asia","as","Israel","asisr","isr",291720,1995
"Asia","as","Jordan","asjor","jor",81806,1995
"Asia","as","Japan","asjpn","jpn",59897149,1995
"Asia","as","Kyrgyzstan","askgz","kgz",513497,1995
"Asia","as","South Korea","askor","kor",43188555,1995
"Asia","as","Laos","aslao","lao",10482,1995
"Asia","as","Macau","asmac","mac",12092106,1995
"Asia","as","Burma","asmmr","mmr",1612859,1995
"Asia","as","Mongolia","asmng","mng",2625907,1995
"Asia","as","Malaysia","asmys","mys",26992550,1995
"Asia","as","Pakistan","aspak","pak",9791650,1995
"Asia","as","Philippines","asphl","phl",3234698,1995
"Asia","as","North Korea","asprk","prk",1005347.0000000001,1995
"Asia","as","Saudi Arabia","assau","sau",34455,1995
"Asia","as","Singapore","assgp","sgp",47488054,1995
"Asia","as","Thailand","astha","tha",398792898,1995
"Asia","as","Turkey","astur","tur",2718391,1995
"Asia","as","Chinese Taipei","astwn","twn",22639012,1995
"Asia","as","Vietnam","asvnm","vnm",6636723,1995
"Europe","eu","Austria","euaut","aut",338372,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",3195498,1995
"Europe","eu","Switzerland","euche","che",6825544.999999999,1995
"Europe","eu","Czechia","eucze","cze",8988,1995
"Europe","eu","Germany","eudeu","deu",8796745,1995
"Europe","eu","Denmark","eudnk","dnk",2831367,1995
"Europe","eu","Spain","euesp","esp",2463201,1995
"Europe","eu","Finland","eufin","fin",350878,1995
"Europe","eu","France","eufra","fra",9156914,1995
"Europe","eu","United Kingdom","eugbr","gbr",25905675,1995
"Europe","eu","Greece","eugrc","grc",451521,1995
"Europe","eu","Hungary","euhun","hun",50073.99999999999,1995
"Europe","eu","Ireland","euirl","irl",934142,1995
"Europe","eu","Iceland","euisl","isl",1876.9999999999998,1995
"Europe","eu","Italy","euita","ita",2345994,1995
"Europe","eu","Netherlands","eunld","nld",14831084,1995
"Europe","eu","Norway","eunor","nor",809654,1995
"Europe","eu","Poland","eupol","pol",1491647,1995
"Europe","eu","Portugal","euprt","prt",8663,1995
"Europe","eu","Romania","eurou","rou",14000,1995
"Europe","eu","Russia","eurus","rus",7416774,1995
"Europe","eu","Slovenia","eusvn","svn",32351.999999999996,1995
"Europe","eu","Sweden","euswe","swe",904696,1995
"North America","na","Canada","nacan","can",2725736,1995
"North America","na","Costa Rica","nacri","cri",30495479,1995
"North America","na","Cuba","nacub","cub",185978323,1995
"North America","na","Guatemala","nagtm","gtm",34021403,1995
