"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Benin","afben","ben",36895,1995
"Africa","af","Cote d'Ivoire","afciv","civ",76953,1995
"Africa","af","Democratic Republic of the Congo","afcod","cod",16249.000000000002,1995
"Africa","af","Egypt","afegy","egy",26230,1995
"Africa","af","Ghana","afgha","gha",110244,1995
"Africa","af","Guinea","afgin","gin",102310,1995
"Africa","af","Gambia","afgmb","gmb",20689,1995
"Africa","af","Kenya","afken","ken",27406,1995
"Africa","af","Liberia","aflbr","lbr",32561.999999999996,1995
"Africa","af","Mauritius","afmus","mus",41391.99999999999,1995
"Africa","af","Nigeria","afnga","nga",22128,1995
"Africa","af","Sudan","afsdn","sdn",59969,1995
"Africa","af","Senegal","afsen","sen",59238,1995
"Africa","af","Somalia","afsom","som",52398.99999999999,1995
"Africa","af","Togo","aftgo","tgo",225833,1995
"Africa","af","Tunisia","aftun","tun",6477,1995
"Africa","af","South Africa","afzaf","zaf",122139,1995
"Asia","as","United Arab Emirates","asare","are",370866,1995
"Asia","as","Bangladesh","asbgd","bgd",84057,1995
"Asia","as","Cyprus","ascyp","cyp",1730.9999999999998,1995
"Asia","as","Hong Kong","ashkg","hkg",125612336,1995
"Asia","as","Indonesia","asidn","idn",1493335,1995
"Asia","as","India","asind","ind",1268471,1995
"Asia","as","Israel","asisr","isr",29090.999999999996,1995
"Asia","as","Japan","asjpn","jpn",11258528,1995
"Asia","as","Kyrgyzstan","askgz","kgz",7523,1995
"Asia","as","South Korea","askor","kor",101493686,1995
"Asia","as","Kuwait","askwt","kwt",12955,1995
"Asia","as","Laos","aslao","lao",3560,1995
"Asia","as","Lebanon","aslbn","lbn",31169,1995
"Asia","as","Sri Lanka","aslka","lka",53898.99999999999,1995
"Asia","as","Macau","asmac","mac",2257267,1995
"Asia","as","Burma","asmmr","mmr",14678,1995
"Asia","as","Malaysia","asmys","mys",335387,1995
"Asia","as","Pakistan","aspak","pak",47141,1995
"Asia","as","Philippines","asphl","phl",750,1995
"Asia","as","North Korea","asprk","prk",1430,1995
"Asia","as","Saudi Arabia","assau","sau",30079,1995
"Asia","as","Singapore","assgp","sgp",724929,1995
"Asia","as","Thailand","astha","tha",17637939,1995
"Asia","as","Turkey","astur","tur",72510,1995
"Asia","as","Chinese Taipei","astwn","twn",231044182,1995
"Asia","as","Vietnam","asvnm","vnm",200187,1995
"Asia","as","Yemen","asyem","yem",120934,1995
"Europe","eu","Austria","euaut","aut",31007,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",289847,1995
"Europe","eu","Switzerland","euche","che",41751,1995
"Europe","eu","Czechia","eucze","cze",101164,1995
"Europe","eu","Germany","eudeu","deu",4530293,1995
"Europe","eu","Denmark","eudnk","dnk",38184,1995
"Europe","eu","Spain","euesp","esp",1310683,1995
"Europe","eu","Finland","eufin","fin",22525,1995
"Europe","eu","France","eufra","fra",795732,1995
"Europe","eu","United Kingdom","eugbr","gbr",1254732,1995
"Europe","eu","Greece","eugrc","grc",72246,1995
"Europe","eu","Croatia","euhrv","hrv",12875,1995
"Europe","eu","Hungary","euhun","hun",122104,1995
"Europe","eu","Ireland","euirl","irl",21435,1995
"Europe","eu","Italy","euita","ita",7678384,1995
"Europe","eu","Netherlands","eunld","nld",110931,1995
"Europe","eu","Norway","eunor","nor",135311,1995
"Europe","eu","Poland","eupol","pol",72759,1995
"Europe","eu","Portugal","euprt","prt",29290,1995
"Europe","eu","Russia","eurus","rus",59400.00000000001,1995
"Europe","eu","Sweden","euswe","swe",46044,1995
"North America","na","Canada","nacan","can",365564.99999999994,1995
