"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Central African Republic","afcaf","caf",611,1995
"Africa","af","Egypt","afegy","egy",7138.999999999999,1995
"Africa","af","Nigeria","afnga","nga",19730.999999999996,1995
"Africa","af","South Africa","afzaf","zaf",288807,1995
"Africa","af","Zimbabwe","afzwe","zwe",13878,1995
"Asia","as","United Arab Emirates","asare","are",67373,1995
"Asia","as","Bangladesh","asbgd","bgd",61748,1995
"Asia","as","Cyprus","ascyp","cyp",6752.999999999999,1995
"Asia","as","Georgia","asgeo","geo",56138.00000000001,1995
"Asia","as","Hong Kong","ashkg","hkg",81566761,1995
"Asia","as","Indonesia","asidn","idn",8039280,1995
"Asia","as","India","asind","ind",2036469,1995
"Asia","as","Iran","asirn","irn",218359,1995
"Asia","as","Israel","asisr","isr",64747,1995
"Asia","as","Japan","asjpn","jpn",255247253,1995
"Asia","as","Kazakhstan","askaz","kaz",1886,1995
"Asia","as","Kyrgyzstan","askgz","kgz",19075,1995
"Asia","as","South Korea","askor","kor",30755497,1995
"Asia","as","Kuwait","askwt","kwt",71591,1995
"Asia","as","Macau","asmac","mac",1108592,1995
"Asia","as","Burma","asmmr","mmr",20444,1995
"Asia","as","Mongolia","asmng","mng",4357,1995
"Asia","as","Malaysia","asmys","mys",5357502,1995
"Asia","as","Oman","asomn","omn",1554,1995
"Asia","as","Pakistan","aspak","pak",64372,1995
"Asia","as","Philippines","asphl","phl",2779741,1995
"Asia","as","North Korea","asprk","prk",257913,1995
"Asia","as","Qatar","asqat","qat",4098,1995
"Asia","as","Saudi Arabia","assau","sau",1556581,1995
"Asia","as","Singapore","assgp","sgp",15384765,1995
"Asia","as","Thailand","astha","tha",12025093,1995
"Asia","as","Turkey","astur","tur",378668,1995
"Asia","as","Chinese Taipei","astwn","twn",136172372,1995
"Asia","as","Vietnam","asvnm","vnm",5615,1995
"Asia","as","Yemen","asyem","yem",16860,1995
"Europe","eu","Austria","euaut","aut",4064238,1995
"Europe","eu","Bulgaria","eubgr","bgr",75855,1995
"Europe","eu","Belarus","eublr","blr",4829,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",24613843,1995
"Europe","eu","Switzerland","euche","che",2442626,1995
"Europe","eu","Czechia","eucze","cze",937381,1995
"Europe","eu","Germany","eudeu","deu",24653136,1995
"Europe","eu","Denmark","eudnk","dnk",821358,1995
"Europe","eu","Spain","euesp","esp",21555281,1995
"Europe","eu","Finland","eufin","fin",592141,1995
"Europe","eu","France","eufra","fra",14611061,1995
"Europe","eu","United Kingdom","eugbr","gbr",12555259,1995
"Europe","eu","Greece","eugrc","grc",716701,1995
"Europe","eu","Hungary","euhun","hun",211589.99999999997,1995
"Europe","eu","Ireland","euirl","irl",105754,1995
"Europe","eu","Italy","euita","ita",38442112,1995
"Europe","eu","Netherlands","eunld","nld",9848066,1995
"Europe","eu","Norway","eunor","nor",740532,1995
"Europe","eu","Poland","eupol","pol",97973.99999999999,1995
"Europe","eu","Portugal","euprt","prt",610351,1995
"Europe","eu","Romania","eurou","rou",7450,1995
"Europe","eu","Russia","eurus","rus",2095673,1995
"Europe","eu","Slovakia","eusvk","svk",149225,1995
"Europe","eu","Sweden","euswe","swe",1515252,1995
"North America","na","Canada","nacan","can",8777023,1995
"North America","na","Mexico","namex","mex",73828,1995
"North America","na","Panama","napan","pan",2623,1995
"North America","na","United States","nausa","usa",87006641,1995
"Oceania","oc","Australia","ocaus","aus",3403020,1995
"Oceania","oc","New Zealand","ocnzl","nzl",342178,1995
"South America","sa","Argentina","saarg","arg",30817,1995
"South America","sa","Brazil","sabra","bra",16008570,1995
"Africa","af","Angola","afago","ago",842.0000000000001,1996
"Africa","af","Egypt","afegy","egy",13968,1996
"Africa","af","Kenya","afken","ken",946,1996
"Africa","af","Tunisia","aftun","tun",38711,1996
"Africa","af","Uganda","afuga","uga",25076,1996
"Africa","af","South Africa","afzaf","zaf",1220329,1996
"Africa","af","Zimbabwe","afzwe","zwe",44875,1996
"Asia","as","United Arab Emirates","asare","are",67296,1996
"Asia","as","Bangladesh","asbgd","bgd",9170,1996
"Asia","as","Cyprus","ascyp","cyp",85488,1996
"Asia","as","Hong Kong","ashkg","hkg",72159645,1996
"Asia","as","Indonesia","asidn","idn",10043619,1996
"Asia","as","India","asind","ind",5793403,1996
"Asia","as","Iran","asirn","irn",224677.00000000003,1996
"Asia","as","Israel","asisr","isr",294756,1996
"Asia","as","Japan","asjpn","jpn",361589700,1996
"Asia","as","Kazakhstan","askaz","kaz",68461,1996
"Asia","as","Kyrgyzstan","askgz","kgz",29610,1996
"Asia","as","South Korea","askor","kor",39147037,1996
"Asia","as","Macau","asmac","mac",620020,1996
"Asia","as","Burma","asmmr","mmr",21076,1996
"Asia","as","Mongolia","asmng","mng",10027,1996
"Asia","as","Malaysia","asmys","mys",6035866,1996
"Asia","as","Nepal","asnpl","npl",1791,1996
"Asia","as","Pakistan","aspak","pak",63729,1996
"Asia","as","Philippines","asphl","phl",1469455,1996
"Asia","as","North Korea","asprk","prk",7207,1996
"Asia","as","Saudi Arabia","assau","sau",1051908,1996
"Asia","as","Singapore","assgp","sgp",20475444,1996
"Asia","as","Thailand","astha","tha",12942174,1996
"Asia","as","Turkey","astur","tur",830796,1996
"Asia","as","Chinese Taipei","astwn","twn",141419763,1996
"Asia","as","Vietnam","asvnm","vnm",16919,1996
"Europe","eu","Austria","euaut","aut",3506092,1996
"Europe","eu","Bulgaria","eubgr","bgr",22158,1996
"Europe","eu","Belarus","eublr","blr",625,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",24926150,1996
"Europe","eu","Switzerland","euche","che",1798010,1996
"Europe","eu","Czechia","eucze","cze",646646,1996
"Europe","eu","Germany","eudeu","deu",30056524,1996
"Europe","eu","Denmark","eudnk","dnk",1415008,1996
"Europe","eu","Spain","euesp","esp",27849078,1996
"Europe","eu","Finland","eufin","fin",1015504.0000000001,1996
"Europe","eu","France","eufra","fra",33393908,1996
"Europe","eu","United Kingdom","eugbr","gbr",13219591,1996
"Europe","eu","Greece","eugrc","grc",6444809,1996
"Europe","eu","Hungary","euhun","hun",225456,1996
"Europe","eu","Ireland","euirl","irl",189162,1996
"Europe","eu","Italy","euita","ita",52191779,1996
"Europe","eu","Netherlands","eunld","nld",10542856,1996
"Europe","eu","Norway","eunor","nor",2089232,1996
"Europe","eu","Poland","eupol","pol",71196,1996
"Europe","eu","Portugal","euprt","prt",833847,1996
"Europe","eu","Romania","eurou","rou",7861,1996
"Europe","eu","Russia","eurus","rus",15632970,1996
"Europe","eu","Slovakia","eusvk","svk",3550,1996
"Europe","eu","Slovenia","eusvn","svn",2329,1996
"Europe","eu","Sweden","euswe","swe",2231610,1996
"Europe","eu","Ukraine","euukr","ukr",8477,1996
"North America","na","Canada","nacan","can",5702272,1996
"North America","na","Mexico","namex","mex",801989,1996
"North America","na","Panama","napan","pan",3159,1996
"North America","na","United States","nausa","usa",82889280,1996
"Oceania","oc","Australia","ocaus","aus",6011479,1996
"Oceania","oc","New Zealand","ocnzl","nzl",174366,1996
"South America","sa","Argentina","saarg","arg",525,1996
"South America","sa","Brazil","sabra","bra",4964530,1996
"South America","sa","Colombia","sacol","col",55678.99999999999,1996
"South America","sa","Peru","saper","per",1855,1996
"Africa","af","Republic of the Congo","afcog","cog",5769,1997
"Africa","af","Egypt","afegy","egy",87680,1997
"Africa","af","Gabon","afgab","gab",4700,1997
"Africa","af","Kenya","afken","ken",574,1997
"Africa","af","Morocco","afmar","mar",6294,1997
"Africa","af","Mauritius","afmus","mus",22275,1997
"Africa","af","Nigeria","afnga","nga",4721.999999999999,1997
"Africa","af","Tunisia","aftun","tun",17593,1997
"Africa","af","South Africa","afzaf","zaf",3424234,1997
"Africa","af","Zimbabwe","afzwe","zwe",15679,1997
"Asia","as","United Arab Emirates","asare","are",976514,1997
"Asia","as","Bangladesh","asbgd","bgd",104710,1997
"Asia","as","Brunei","asbrn","brn",2803,1997
"Asia","as","Hong Kong","ashkg","hkg",58236622,1997
