"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Cote d'Ivoire","afciv","civ",1507,1995
"Africa","af","Egypt","afegy","egy",2089,1995
"Africa","af","Mauritius","afmus","mus",72140,1995
"Africa","af","Nigeria","afnga","nga",164820,1995
"Africa","af","Uganda","afuga","uga",2425,1995
"Africa","af","South Africa","afzaf","zaf",100683316,1995
"Asia","as","Afghanistan","asafg","afg",617,1995
"Asia","as","United Arab Emirates","asare","are",242572,1995
"Asia","as","Bangladesh","asbgd","bgd",1046885.0000000001,1995
"Asia","as","Hong Kong","ashkg","hkg",338481535,1995
"Asia","as","Indonesia","asidn","idn",13368906,1995
"Asia","as","India","asind","ind",3108785,1995
"Asia","as","Iran","asirn","irn",24501,1995
"Asia","as","Israel","asisr","isr",13522454.000000002,1995
"Asia","as","Japan","asjpn","jpn",899137883,1995
"Asia","as","Kazakhstan","askaz","kaz",650173,1995
"Asia","as","Kyrgyzstan","askgz","kgz",229852,1995
"Asia","as","South Korea","askor","kor",265205390,1995
"Asia","as","Macau","asmac","mac",3632588,1995
"Asia","as","Malaysia","asmys","mys",15176683,1995
"Asia","as","Oman","asomn","omn",35896,1995
"Asia","as","Pakistan","aspak","pak",186212,1995
"Asia","as","Philippines","asphl","phl",255567.99999999997,1995
"Asia","as","North Korea","asprk","prk",88400,1995
"Asia","as","Saudi Arabia","assau","sau",2269,1995
"Asia","as","Singapore","assgp","sgp",260518385.99999997,1995
"Asia","as","Thailand","astha","tha",4628717,1995
"Asia","as","Turkey","astur","tur",5822263,1995
"Asia","as","Chinese Taipei","astwn","twn",176159329,1995
"Asia","as","Uzbekistan","asuzb","uzb",140954,1995
"Asia","as","Vietnam","asvnm","vnm",2795636,1995
"Europe","eu","Austria","euaut","aut",25865306,1995
"Europe","eu","Bulgaria","eubgr","bgr",6535450,1995
"Europe","eu","Belarus","eublr","blr",3499202,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",22570419,1995
"Europe","eu","Switzerland","euche","che",2109521,1995
"Europe","eu","Czechia","eucze","cze",59205615,1995
"Europe","eu","Germany","eudeu","deu",956932873,1995
"Europe","eu","Denmark","eudnk","dnk",895141,1995
"Europe","eu","Spain","euesp","esp",87194930,1995
"Europe","eu","Finland","eufin","fin",23250778,1995
"Europe","eu","France","eufra","fra",486806893,1995
"Europe","eu","United Kingdom","eugbr","gbr",43143862,1995
"Europe","eu","Greece","eugrc","grc",1217963,1995
"Europe","eu","Hungary","euhun","hun",1971462.0000000002,1995
"Europe","eu","Ireland","euirl","irl",6810501.999999999,1995
"Europe","eu","Italy","euita","ita",202852793,1995
"Europe","eu","Malta","eumlt","mlt",22879472,1995
"Europe","eu","Netherlands","eunld","nld",116173044,1995
"Europe","eu","Norway","eunor","nor",40189197,1995
"Europe","eu","Poland","eupol","pol",9663954,1995
"Europe","eu","Portugal","euprt","prt",2405192.9999999995,1995
"Europe","eu","Romania","eurou","rou",45469426,1995
"Europe","eu","Russia","eurus","rus",89140013,1995
"Europe","eu","Slovakia","eusvk","svk",12931000,1995
"Europe","eu","Slovenia","eusvn","svn",2395291.0000000005,1995
"Europe","eu","Sweden","euswe","swe",22827486,1995
"Europe","eu","Ukraine","euukr","ukr",4326030,1995
"North America","na","Canada","nacan","can",84315006,1995
"North America","na","Mexico","namex","mex",443896,1995
"North America","na","United States","nausa","usa",1401102803,1995
"Oceania","oc","Australia","ocaus","aus",28636035,1995
"Oceania","oc","New Zealand","ocnzl","nzl",231243.99999999997,1995
"South America","sa","Argentina","saarg","arg",2945913,1995
"South America","sa","Brazil","sabra","bra",73152129,1995
"Africa","af","Burkina Faso","afbfa","bfa",101085,1996
"Africa","af","Cote d'Ivoire","afciv","civ",8122.999999999999,1996
"Africa","af","Ghana","afgha","gha",45034,1996
"Africa","af","Gambia","afgmb","gmb",2073,1996
"Africa","af","Nigeria","afnga","nga",2073799.0000000002,1996
"Africa","af","Senegal","afsen","sen",60574,1996
"Africa","af","Togo","aftgo","tgo",12174,1996
"Africa","af","Uganda","afuga","uga",61970,1996
"Africa","af","South Africa","afzaf","zaf",4795859,1996
"Asia","as","Bangladesh","asbgd","bgd",491662,1996
"Asia","as","Cyprus","ascyp","cyp",3916100.9999999995,1996
"Asia","as","Georgia","asgeo","geo",342000,1996
"Asia","as","Hong Kong","ashkg","hkg",350137957,1996
"Asia","as","Indonesia","asidn","idn",1207456,1996
"Asia","as","India","asind","ind",485417,1996
"Asia","as","Iran","asirn","irn",13083.000000000002,1996
"Asia","as","Israel","asisr","isr",10647719,1996
"Asia","as","Japan","asjpn","jpn",913789912,1996
"Asia","as","Kazakhstan","askaz","kaz",214452,1996
"Asia","as","Kyrgyzstan","askgz","kgz",84620,1996
"Asia","as","South Korea","askor","kor",244817533,1996
"Asia","as","Laos","aslao","lao",515,1996
"Asia","as","Sri Lanka","aslka","lka",284300,1996
"Asia","as","Macau","asmac","mac",1044092,1996
"Asia","as","Mongolia","asmng","mng",224619,1996
"Asia","as","Malaysia","asmys","mys",34747154,1996
"Asia","as","Nepal","asnpl","npl",144077,1996
"Asia","as","Oman","asomn","omn",23732,1996
"Asia","as","Pakistan","aspak","pak",6177,1996
"Asia","as","Philippines","asphl","phl",1155857,1996
"Asia","as","North Korea","asprk","prk",90319,1996
"Asia","as","Saudi Arabia","assau","sau",106168,1996
"Asia","as","Singapore","assgp","sgp",132399557,1996
"Asia","as","Thailand","astha","tha",6058778,1996
