"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Cote d'Ivoire","afciv","civ",2127150,1995
"Africa","af","Egypt","afegy","egy",39422,1995
"Africa","af","Eritrea","aferi","eri",17664,1995
"Africa","af","Kenya","afken","ken",18500,1995
"Africa","af","Libya","aflby","lby",2659856,1995
"Africa","af","Mauritius","afmus","mus",57612,1995
"Africa","af","Malawi","afmwi","mwi",277349,1995
"Africa","af","Seychelles","afsyc","syc",27630,1995
"Africa","af","Togo","aftgo","tgo",403083,1995
"Africa","af","South Africa","afzaf","zaf",1284358,1995
"Africa","af","Zimbabwe","afzwe","zwe",26537,1995
"Asia","as","United Arab Emirates","asare","are",665.9999999999999,1995
"Asia","as","Bangladesh","asbgd","bgd",76748,1995
"Asia","as","Bahrain","asbhr","bhr",1591.9999999999998,1995
"Asia","as","China","aschn","chn",66917622,1995
"Asia","as","Cyprus","ascyp","cyp",16428,1995
"Asia","as","Hong Kong","ashkg","hkg",22563064,1995
"Asia","as","Indonesia","asidn","idn",3480093,1995
"Asia","as","India","asind","ind",35160,1995
"Asia","as","Iran","asirn","irn",250248,1995
"Asia","as","Jordan","asjor","jor",58577,1995
"Asia","as","Japan","asjpn","jpn",1019557069,1995
"Asia","as","Kuwait","askwt","kwt",5156.000000000001,1995
"Asia","as","Sri Lanka","aslka","lka",533491,1995
"Asia","as","Macau","asmac","mac",19181,1995
"Asia","as","Malaysia","asmys","mys",12464086,1995
"Asia","as","Oman","asomn","omn",205749,1995
"Asia","as","Pakistan","aspak","pak",19264,1995
"Asia","as","Philippines","asphl","phl",6194694,1995
"Asia","as","North Korea","asprk","prk",260896.99999999997,1995
"Asia","as","Saudi Arabia","assau","sau",183311,1995
"Asia","as","Singapore","assgp","sgp",22739543,1995
"Asia","as","Thailand","astha","tha",42542358,1995
"Asia","as","Turkey","astur","tur",1656527.9999999998,1995
"Asia","as","Chinese Taipei","astwn","twn",20566933,1995
"Asia","as","Uzbekistan","asuzb","uzb",104570,1995
"Asia","as","Vietnam","asvnm","vnm",1100764,1995
"Europe","eu","Austria","euaut","aut",44539,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",925161,1995
"Europe","eu","Switzerland","euche","che",32653,1995
"Europe","eu","Czechia","eucze","cze",11446,1995
"Europe","eu","Germany","eudeu","deu",441178,1995
"Europe","eu","Denmark","eudnk","dnk",1673457,1995
"Europe","eu","Spain","euesp","esp",12350101,1995
"Europe","eu","Estonia","euest","est",577459,1995
"Europe","eu","Finland","eufin","fin",259616,1995
"Europe","eu","France","eufra","fra",2353204,1995
"Europe","eu","United Kingdom","eugbr","gbr",2668955,1995
"Europe","eu","Greece","eugrc","grc",66655,1995
