"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Angola","afago","ago",1385,1995
"Africa","af","Cote d'Ivoire","afciv","civ",78161.99999999999,1995
"Africa","af","Comoros","afcom","com",21788,1995
"Africa","af","Ethiopia","afeth","eth",264538,1995
"Africa","af","Gabon","afgab","gab",474226,1995
"Africa","af","Guinea","afgin","gin",2484841,1995
"Africa","af","Gambia","afgmb","gmb",398335.00000000006,1995
"Africa","af","Guinea-Bissau","afgnb","gnb",532111,1995
"Africa","af","Kenya","afken","ken",216617,1995
"Africa","af","Morocco","afmar","mar",956611,1995
"Africa","af","Madagascar","afmdg","mdg",101172.00000000001,1995
"Africa","af","Mauritania","afmrt","mrt",372884,1995
"Africa","af","Nigeria","afnga","nga",8325,1995
"Africa","af","Sudan","afsdn","sdn",134392,1995
"Africa","af","Senegal","afsen","sen",46993,1995
"Africa","af","Sierra Leone","afsle","sle",56101.00000000001,1995
"Africa","af","Tunisia","aftun","tun",13675.999999999998,1995
"Africa","af","Tanzania","aftza","tza",147681,1995
"Africa","af","Uganda","afuga","uga",93187.99999999999,1995
"Africa","af","South Africa","afzaf","zaf",703862,1995
"Asia","as","United Arab Emirates","asare","are",18703,1995
"Asia","as","Bangladesh","asbgd","bgd",465097,1995
"Asia","as","China","aschn","chn",171172686,1995
"Asia","as","Hong Kong","ashkg","hkg",5182954,1995
"Asia","as","Indonesia","asidn","idn",16994033,1995
"Asia","as","India","asind","ind",7799405,1995
"Asia","as","Israel","asisr","isr",738894.9999999999,1995
"Asia","as","Japan","asjpn","jpn",45616698,1995
"Asia","as","Kyrgyzstan","askgz","kgz",209977,1995
"Asia","as","Kuwait","askwt","kwt",12162,1995
"Asia","as","Sri Lanka","aslka","lka",27459,1995
"Asia","as","Macau","asmac","mac",1246,1995
"Asia","as","Burma","asmmr","mmr",325727,1995
"Asia","as","Mongolia","asmng","mng",8944054,1995
"Asia","as","Malaysia","asmys","mys",7534278.999999998,1995
"Asia","as","Oman","asomn","omn",9693209,1995
"Asia","as","Philippines","asphl","phl",16775235.000000002,1995
"Asia","as","North Korea","asprk","prk",258585,1995
"Asia","as","Saudi Arabia","assau","sau",4881,1995
"Asia","as","Singapore","assgp","sgp",9444201,1995
"Asia","as","Thailand","astha","tha",34770943,1995
"Asia","as","Turkey","astur","tur",375414,1995
"Asia","as","Chinese Taipei","astwn","twn",15996257.999999998,1995
"Asia","as","Uzbekistan","asuzb","uzb",922630,1995
"Asia","as","Vietnam","asvnm","vnm",15664283,1995
"Europe","eu","Austria","euaut","aut",583364,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",8719328,1995
"Europe","eu","Switzerland","euche","che",4993177,1995
"Europe","eu","Czechia","eucze","cze",3609,1995
"Europe","eu","Germany","eudeu","deu",5863276,1995
"Europe","eu","Denmark","eudnk","dnk",55923310.99999999,1995
"Europe","eu","Spain","euesp","esp",2099494,1995
"Europe","eu","Estonia","euest","est",1195854,1995
"Europe","eu","Finland","eufin","fin",334404,1995
"Europe","eu","France","eufra","fra",25483218,1995
"Europe","eu","United Kingdom","eugbr","gbr",35292452,1995
"Europe","eu","Greece","eugrc","grc",11967,1995
"Europe","eu","Croatia","euhrv","hrv",42719,1995
"Europe","eu","Hungary","euhun","hun",1561483,1995
"Europe","eu","Ireland","euirl","irl",18480221,1995
"Europe","eu","Iceland","euisl","isl",1976301,1995
"Europe","eu","Italy","euita","ita",299715,1995
"Europe","eu","Lithuania","eultu","ltu",24613.000000000004,1995
"Europe","eu","Latvia","eulva","lva",596640,1995
"Europe","eu","Malta","eumlt","mlt",32952,1995
"Europe","eu","Netherlands","eunld","nld",38649789,1995
"Europe","eu","Norway","eunor","nor",10962862,1995
"Europe","eu","Poland","eupol","pol",1632146,1995
"Europe","eu","Russia","eurus","rus",187834119,1995
"Europe","eu","Sweden","euswe","swe",4279793,1995
"North America","na","Canada","nacan","can",37453405,1995
"North America","na","Greenland","nagrl","grl",561259,1995
"North America","na","Honduras","nahnd","hnd",6033316,1995
"North America","na","Jamaica","najam","jam",45085,1995
"North America","na","Mexico","namex","mex",2647880,1995
"North America","na","Panama","napan","pan",2681632,1995
"North America","na","El Salvador","naslv","slv",11679,1995
"North America","na","United States","nausa","usa",585932025,1995
"Oceania","oc","Australia","ocaus","aus",248771436,1995
"Oceania","oc","Fiji","ocfji","fji",438689,1995
"Oceania","oc","Micronesia","ocfsm","fsm",196213,1995
"Oceania","oc","New Zealand","ocnzl","nzl",128314870,1995
"Oceania","oc","Palau","ocplw","plw",343452,1995
"Oceania","oc","Papua New Guinea","ocpng","png",158366,1995
"Oceania","oc","French Polynesia","ocpyf","pyf",214542,1995
"Oceania","oc","Vanuatu","ocvut","vut",31845,1995
"Oceania","oc","Samoa","ocwsm","wsm",36289,1995
"South America","sa","Argentina","saarg","arg",46722342,1995
"South America","sa","Bolivia","sabol","bol",9064,1995
"South America","sa","Brazil","sabra","bra",8005728,1995
"South America","sa","Chile","sachl","chl",9177787,1995
"South America","sa","Colombia","sacol","col",891529,1995
"South America","sa","Ecuador","saecu","ecu",72503,1995
"South America","sa","Peru","saper","per",5177592,1995
"South America","sa","Paraguay","sapry","pry",26204,1995
"South America","sa","Uruguay","saury","ury",446499.00000000006,1995
"South America","sa","Venezuela","saven","ven",102664,1995
"Africa","af","Angola","afago","ago",60270,1996
"Africa","af","Cameroon","afcmr","cmr",3100,1996
"Africa","af","Egypt","afegy","egy",9347,1996
"Africa","af","Ethiopia","afeth","eth",86584,1996
"Africa","af","Gabon","afgab","gab",273101,1996
"Africa","af","Ghana","afgha","gha",539188,1996
"Africa","af","Guinea","afgin","gin",818915,1996
"Africa","af","Gambia","afgmb","gmb",542435,1996
"Africa","af","Guinea-Bissau","afgnb","gnb",2255057.0000000005,1996
"Africa","af","Libya","aflby","lby",39871,1996
"Africa","af","Morocco","afmar","mar",1307934,1996
"Africa","af","Madagascar","afmdg","mdg",95621,1996
"Africa","af","Mauritania","afmrt","mrt",304666,1996
"Africa","af","Nigeria","afnga","nga",8639,1996
"Africa","af","Sudan","afsdn","sdn",181127,1996
"Africa","af","Senegal","afsen","sen",1176407,1996
"Africa","af","Sierra Leone","afsle","sle",841027,1996
"Africa","af","Tunisia","aftun","tun",4555,1996
"Africa","af","Tanzania","aftza","tza",377949,1996
"Africa","af","Uganda","afuga","uga",93997.00000000001,1996
"Africa","af","South Africa","afzaf","zaf",1078801,1996
"Asia","as","Bangladesh","asbgd","bgd",94500,1996
"Asia","as","China","aschn","chn",268144390,1996
"Asia","as","Hong Kong","ashkg","hkg",4693130,1996
"Asia","as","Indonesia","asidn","idn",16737391,1996
"Asia","as","India","asind","ind",11367736,1996
"Asia","as","Israel","asisr","isr",164989,1996
"Asia","as","Japan","asjpn","jpn",54355308,1996
"Asia","as","Kazakhstan","askaz","kaz",17511,1996
"Asia","as","Kyrgyzstan","askgz","kgz",2435688,1996
"Asia","as","Kuwait","askwt","kwt",13171,1996
"Asia","as","Sri Lanka","aslka","lka",293971,1996
"Asia","as","Maldives","asmdv","mdv",3097,1996
"Asia","as","Burma","asmmr","mmr",100451,1996
"Asia","as","Mongolia","asmng","mng",55750,1996
"Asia","as","Malaysia","asmys","mys",11160165,1996
"Asia","as","Nepal","asnpl","npl",1135,1996
"Asia","as","Oman","asomn","omn",14919869,1996
"Asia","as","Pakistan","aspak","pak",15077,1996
"Asia","as","Philippines","asphl","phl",18846257,1996
"Asia","as","Saudi Arabia","assau","sau",72351,1996
"Asia","as","Singapore","assgp","sgp",7024259,1996
"Asia","as","Thailand","astha","tha",55463007,1996
"Asia","as","Turkey","astur","tur",763774,1996
"Asia","as","Chinese Taipei","astwn","twn",22372193,1996
"Asia","as","Uzbekistan","asuzb","uzb",932240,1996
"Asia","as","Vietnam","asvnm","vnm",12216422,1996
"Asia","as","Yemen","asyem","yem",4050,1996
"Europe","eu","Austria","euaut","aut",424893.99999999994,1996
"Europe","eu","Bulgaria","eubgr","bgr",115205,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",4942147,1996
"Europe","eu","Switzerland","euche","che",2508138,1996
"Europe","eu","Czechia","eucze","cze",4899,1996
"Europe","eu","Germany","eudeu","deu",6213387,1996
"Europe","eu","Denmark","eudnk","dnk",87274008,1996
"Europe","eu","Spain","euesp","esp",6438207,1996
"Europe","eu","Estonia","euest","est",1837654,1996
"Europe","eu","Finland","eufin","fin",1314162,1996
"Europe","eu","France","eufra","fra",24692741,1996
"Europe","eu","United Kingdom","eugbr","gbr",35372627,1996
"Europe","eu","Hungary","euhun","hun",574041,1996
"Europe","eu","Ireland","euirl","irl",13368471,1996
"Europe","eu","Iceland","euisl","isl",3085193,1996
"Europe","eu","Italy","euita","ita",133034,1996
"Europe","eu","Lithuania","eultu","ltu",130761.00000000001,1996
"Europe","eu","Latvia","eulva","lva",122840,1996
"Europe","eu","Malta","eumlt","mlt",17921,1996
"Europe","eu","Netherlands","eunld","nld",38780833,1996
"Europe","eu","Norway","eunor","nor",11833430,1996
"Europe","eu","Poland","eupol","pol",1150480,1996
"Europe","eu","Russia","eurus","rus",61174474,1996
"Europe","eu","Sweden","euswe","swe",5885161,1996
"North America","na","Canada","nacan","can",45634241,1996
"North America","na","Costa Rica","nacri","cri",1303.0000000000002,1996
"North America","na","Greenland","nagrl","grl",683348.0000000001,1996
"North America","na","Honduras","nahnd","hnd",4182435,1996
"North America","na","Haiti","nahti","hti",1865,1996
"North America","na","Mexico","namex","mex",6079835,1996
"North America","na","Panama","napan","pan",44388.00000000001,1996
"North America","na","El Salvador","naslv","slv",63876.00000000001,1996
"North America","na","United States Minor Outlying Islands","naumi","umi",174474,1996
"North America","na","United States","nausa","usa",580696926,1996
"Oceania","oc","Australia","ocaus","aus",199267548,1996
"Oceania","oc","Fiji","ocfji","fji",259695,1996
"Oceania","oc","Micronesia","ocfsm","fsm",95235,1996
"Oceania","oc","Marshall Islands","ocmhl","mhl",22789,1996
"Oceania","oc","New Zealand","ocnzl","nzl",117227421,1996
"Oceania","oc","Palau","ocplw","plw",50328,1996
"Oceania","oc","Papua New Guinea","ocpng","png",305551,1996
"Oceania","oc","French Polynesia","ocpyf","pyf",435472,1996
"Oceania","oc","Solomon Islands","ocslb","slb",9392.999999999998,1996
"Oceania","oc","Vanuatu","ocvut","vut",96915,1996
"Oceania","oc","Samoa","ocwsm","wsm",31579,1996
"South America","sa","Argentina","saarg","arg",69699989,1996
"South America","sa","Brazil","sabra","bra",1098782,1996
"South America","sa","Chile","sachl","chl",7001074,1996
"South America","sa","Colombia","sacol","col",336215,1996
"South America","sa","Ecuador","saecu","ecu",2156276,1996
"South America","sa","Peru","saper","per",6414289.000000001,1996
"South America","sa","Uruguay","saury","ury",2244532,1996
"South America","sa","Venezuela","saven","ven",69357,1996
"Africa","af","Egypt","afegy","egy",2409.0000000000005,1997
"Africa","af","Ethiopia","afeth","eth",183077,1997
"Africa","af","Gabon","afgab","gab",71488.99999999999,1997
"Africa","af","Ghana","afgha","gha",110534,1997
"Africa","af","Guinea","afgin","gin",1746719,1997
"Africa","af","Gambia","afgmb","gmb",386491,1997
"Africa","af","Guinea-Bissau","afgnb","gnb",1121481,1997
"Africa","af","Kenya","afken","ken",62843.99999999999,1997
"Africa","af","Morocco","afmar","mar",1891903,1997
"Africa","af","Madagascar","afmdg","mdg",283239,1997
"Africa","af","Mauritania","afmrt","mrt",942465,1997
"Africa","af","Sudan","afsdn","sdn",173398,1997
"Africa","af","Senegal","afsen","sen",569614,1997
"Africa","af","Sierra Leone","afsle","sle",475047.99999999994,1997
"Africa","af","Somalia","afsom","som",16968,1997
"Africa","af","Seychelles","afsyc","syc",2380852,1997
"Africa","af","Togo","aftgo","tgo",4645,1997
"Africa","af","Tanzania","aftza","tza",254474,1997
"Africa","af","Uganda","afuga","uga",177739,1997
"Africa","af","South Africa","afzaf","zaf",1272238,1997
"Africa","af","Zambia","afzmb","zmb",20578,1997
"Antarctica","an","French South Antarctic Territory","anatf","atf",32537,1997
"Asia","as","United Arab Emirates","asare","are",52315,1997
"Asia","as","Armenia","asarm","arm",67112,1997
"Asia","as","Bangladesh","asbgd","bgd",89135,1997
"Asia","as","China","aschn","chn",315611244,1997
"Asia","as","Christmas Island","ascxr","cxr",738453,1997
"Asia","as","Cyprus","ascyp","cyp",31837,1997
"Asia","as","Hong Kong","ashkg","hkg",5986751,1997
"Asia","as","Indonesia","asidn","idn",17889681,1997
"Asia","as","India","asind","ind",9720029,1997
"Asia","as","Iran","asirn","irn",354046.99999999994,1997
"Asia","as","Israel","asisr","isr",179715,1997
"Asia","as","Japan","asjpn","jpn",63398954,1997
"Asia","as","Kazakhstan","askaz","kaz",281526,1997
"Asia","as","Kuwait","askwt","kwt",34532,1997
"Asia","as","Sri Lanka","aslka","lka",325907,1997
"Asia","as","Burma","asmmr","mmr",97310.00000000001,1997
"Asia","as","Mongolia","asmng","mng",1583202,1997
"Asia","as","Malaysia","asmys","mys",11847892,1997
"Asia","as","Oman","asomn","omn",17499462,1997
"Asia","as","Pakistan","aspak","pak",383856,1997
"Asia","as","Philippines","asphl","phl",15451875,1997
"Asia","as","Saudi Arabia","assau","sau",712636,1997
"Asia","as","Singapore","assgp","sgp",13141250,1997
"Asia","as","Thailand","astha","tha",53722232.99999999,1997
"Asia","as","Turkey","astur","tur",271115,1997
"Asia","as","Chinese Taipei","astwn","twn",28181552,1997
"Asia","as","Uzbekistan","asuzb","uzb",830,1997
"Asia","as","Vietnam","asvnm","vnm",18219327,1997
"Asia","as","Yemen","asyem","yem",430234,1997
"Europe","eu","Austria","euaut","aut",964525,1997
"Europe","eu","Bulgaria","eubgr","bgr",50424,1997
"Europe","eu","Belgium-Luxembourg","eublx","blx",20643675,1997
"Europe","eu","Switzerland","euche","che",1996360.9999999998,1997
"Europe","eu","Germany","eudeu","deu",4492047,1997
"Europe","eu","Denmark","eudnk","dnk",96935761.99999999,1997
"Europe","eu","Spain","euesp","esp",8083251.999999999,1997
"Europe","eu","Estonia","euest","est",819546,1997
"Europe","eu","Finland","eufin","fin",7139010,1997
"Europe","eu","France","eufra","fra",22214099,1997
"Europe","eu","United Kingdom","eugbr","gbr",30403674,1997
"Europe","eu","Greece","eugrc","grc",2122,1997
"Europe","eu","Hungary","euhun","hun",2005458,1997
"Europe","eu","Ireland","euirl","irl",8591386,1997
"Europe","eu","Iceland","euisl","isl",2428186,1997
"Europe","eu","Italy","euita","ita",569770,1997
"Europe","eu","Lithuania","eultu","ltu",410479,1997
