"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,63081,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,716,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,293024,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,10476364,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,1023035,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,89389492,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,13338620,1995
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,6601,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,317297,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,472817,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,4982,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,9777.999999999998,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,38456,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,97097080,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,48369491,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,469183514,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,134658579,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,13985660,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,42263689,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,365219063,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,159412,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,781571,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,1376766,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,333963,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,63113,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,363390,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,30119,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,30890.999999999996,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,9563,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,220725.99999999997,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,197854,1995
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,386389,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,179125,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,85213,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,15930881,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,220843,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,1222118,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,4248347,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,6368,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,364068,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,6217403,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,142753,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,5197697,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,2742371,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,3340664,1995
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,32480,1995
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,1207500,1995
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,9364048,1995
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,1461820.9999999998,1995
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,409992,1995
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,3935857,1995
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,5457302.000000001,1995
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,182468,1995
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,68722886,1995
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,284509,1995
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,1358599,1995
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,19082482,1995
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,687278,1995
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,208291,1995
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,905.9999999999999,1995
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,21766292,1995
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,645352,1995
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,43553,1995
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,1507442,1995
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,119187,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,1502474,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,19637172,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,735,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,1096639,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,4765019,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,92456861.00000001,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,750118,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,14016.000000000002,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,1327655,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,1537493,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,645.9999999999999,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,3880452,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,13928,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1010,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,46497,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,2828317,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,68605.00000000001,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,1142134,1995
