"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,6070307,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,1954564,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,5844503,1995
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,129294,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,5515143,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,8877411,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,31771743.999999996,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,532553236,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,107358693.99999999,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,15238152,1995
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,33482970,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,60553394,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,1358333,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,432485,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,4107570,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,25226546,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,40777060,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,334829138,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,116702803,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,10168804,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,79368765,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,152605471,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,10599162.000000002,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,44709111,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,1527445,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,47012193,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,3592234,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,34950272,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,960425,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,3376093,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,730530,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,7106265,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,427330,1995
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,4519661,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,600668,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,12619015,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,23500735,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,932755,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,44440568,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,7953374,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,54271,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,24659405,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,18238705,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,7312028.000000001,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,21069782,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,1930280,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,1130931,1995
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,255645.99999999997,1995
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,102003,1995
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,9453652,1995
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,130183,1995
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,495329,1995
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,2602797,1995
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,957.0000000000001,1995
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,672570,1995
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,4014516,1995
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,4820059,1995
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,7604861.999999999,1995
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,33792739,1995
