"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Guinea","afgin","gin",8902.000000000002,1995
"Africa","af","Morocco","afmar","mar",21691,1995
"Africa","af","Madagascar","afmdg","mdg",13199,1995
"Africa","af","Tunisia","aftun","tun",36699,1995
"Africa","af","South Africa","afzaf","zaf",669,1995
"Asia","as","Bangladesh","asbgd","bgd",285738,1995
"Asia","as","China","aschn","chn",193992307,1995
"Asia","as","Cyprus","ascyp","cyp",1943,1995
"Asia","as","Hong Kong","ashkg","hkg",4982574,1995
"Asia","as","Indonesia","asidn","idn",18215866,1995
"Asia","as","India","asind","ind",5754064,1995
"Asia","as","Israel","asisr","isr",21267,1995
"Asia","as","Japan","asjpn","jpn",15950965,1995
"Asia","as","Sri Lanka","aslka","lka",846809,1995
"Asia","as","Macau","asmac","mac",810918,1995
"Asia","as","Malaysia","asmys","mys",267773,1995
"Asia","as","Philippines","asphl","phl",6709160,1995
"Asia","as","North Korea","asprk","prk",8992,1995
"Asia","as","Saudi Arabia","assau","sau",162005,1995
"Asia","as","Singapore","assgp","sgp",391211,1995
"Asia","as","Thailand","astha","tha",9954298,1995
"Asia","as","Chinese Taipei","astwn","twn",17861536,1995
"Asia","as","Vietnam","asvnm","vnm",4492380,1995
"Europe","eu","Austria","euaut","aut",2149938,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",12618,1995
"Europe","eu","Switzerland","euche","che",3270638,1995
"Europe","eu","Czechia","eucze","cze",180538,1995
"Europe","eu","Germany","eudeu","deu",1967607,1995
"Europe","eu","Denmark","eudnk","dnk",20160,1995
"Europe","eu","Spain","euesp","esp",3220811,1995
"Europe","eu","Estonia","euest","est",22914,1995
"Europe","eu","Finland","eufin","fin",905909.9999999999,1995
"Europe","eu","France","eufra","fra",5017559,1995
"Europe","eu","United Kingdom","eugbr","gbr",3309832,1995
"Europe","eu","Croatia","euhrv","hrv",9467,1995
"Europe","eu","Hungary","euhun","hun",12934,1995
"Europe","eu","Ireland","euirl","irl",7506,1995
"Europe","eu","Italy","euita","ita",43361196,1995
"Europe","eu","Latvia","eulva","lva",424965,1995
"Europe","eu","Netherlands","eunld","nld",367533,1995
"Europe","eu","Norway","eunor","nor",1714,1995
"Europe","eu","Portugal","euprt","prt",3444940,1995
"Europe","eu","Romania","eurou","rou",46930,1995
"Europe","eu","Russia","eurus","rus",98514.00000000001,1995
"Europe","eu","Slovenia","eusvn","svn",1231884,1995
"Europe","eu","Sweden","euswe","swe",129277,1995
"North America","na","Canada","nacan","can",257678,1995
"North America","na","Dominica","nadma","dma",1624,1995
"North America","na","Dominican Republic","nadom","dom",33992,1995
"North America","na","Guatemala","nagtm","gtm",2002,1995
"North America","na","Mexico","namex","mex",170616,1995
"North America","na","United States","nausa","usa",35217469.99999999,1995
"Oceania","oc","Australia","ocaus","aus",245679,1995
"Oceania","oc","New Zealand","ocnzl","nzl",37610,1995
"Oceania","oc","Solomon Islands","ocslb","slb",9279,1995
"South America","sa","Bolivia","sabol","bol",7438,1995
"South America","sa","Brazil","sabra","bra",409231,1995
"South America","sa","Colombia","sacol","col",7550,1995
"South America","sa","Ecuador","saecu","ecu",5842.000000000001,1995
"Africa","af","Morocco","afmar","mar",45954,1996
"Africa","af","Madagascar","afmdg","mdg",22855,1996
"Africa","af","Tunisia","aftun","tun",150377,1996
"Africa","af","South Africa","afzaf","zaf",129669,1996
"Asia","as","Bangladesh","asbgd","bgd",977731,1996
"Asia","as","China","aschn","chn",233428906,1996
"Asia","as","Hong Kong","ashkg","hkg",18455231,1996
"Asia","as","Indonesia","asidn","idn",29888533,1996
"Asia","as","India","asind","ind",4092580,1996
"Asia","as","Israel","asisr","isr",22305,1996
"Asia","as","Japan","asjpn","jpn",14388870,1996
"Asia","as","Sri Lanka","aslka","lka",420270,1996
