"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",10055,1995
"Africa","af","Egypt","afegy","egy",2747,1995
"Africa","af","Morocco","afmar","mar",2005,1995
"Africa","af","Mauritius","afmus","mus",3654,1995
"Africa","af","Senegal","afsen","sen",1337,1995
"Africa","af","Tunisia","aftun","tun",91744,1995
"Africa","af","South Africa","afzaf","zaf",377655,1995
"Africa","af","Zimbabwe","afzwe","zwe",24246,1995
"Asia","as","United Arab Emirates","asare","are",587441,1995
"Asia","as","Bangladesh","asbgd","bgd",22454,1995
"Asia","as","Bahrain","asbhr","bhr",4713,1995
"Asia","as","China","aschn","chn",67848227,1995
"Asia","as","Hong Kong","ashkg","hkg",63280615,1995
"Asia","as","Indonesia","asidn","idn",17260159,1995
"Asia","as","India","asind","ind",1527236,1995
"Asia","as","Iran","asirn","irn",2140,1995
"Asia","as","Israel","asisr","isr",34134766,1995
"Asia","as","Jordan","asjor","jor",121135,1995
"Asia","as","Japan","asjpn","jpn",2742563916,1995
"Asia","as","Kuwait","askwt","kwt",3187,1995
"Asia","as","Lebanon","aslbn","lbn",993,1995
"Asia","as","Sri Lanka","aslka","lka",874504,1995
"Asia","as","Malaysia","asmys","mys",10337557,1995
"Asia","as","Nepal","asnpl","npl",2616,1995
"Asia","as","Oman","asomn","omn",23044,1995
"Asia","as","Pakistan","aspak","pak",869590,1995
"Asia","as","Philippines","asphl","phl",2367501,1995
"Asia","as","Saudi Arabia","assau","sau",185114,1995
"Asia","as","Singapore","assgp","sgp",101278449,1995
"Asia","as","Syria","assyr","syr",2980,1995
"Asia","as","Thailand","astha","tha",20993230,1995
"Asia","as","Turkey","astur","tur",151463,1995
"Asia","as","Chinese Taipei","astwn","twn",48704649,1995
"Asia","as","Vietnam","asvnm","vnm",25048,1995
"Asia","as","Yemen","asyem","yem",3233,1995
"Europe","eu","Austria","euaut","aut",20261919,1995
"Europe","eu","Bulgaria","eubgr","bgr",49355,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",7475947,1995
"Europe","eu","Switzerland","euche","che",126160267,1995
"Europe","eu","Czechia","eucze","cze",1728449,1995
"Europe","eu","Germany","eudeu","deu",459548607,1995
"Europe","eu","Denmark","eudnk","dnk",27981810,1995
"Europe","eu","Spain","euesp","esp",8121291,1995
"Europe","eu","Estonia","euest","est",8897,1995
"Europe","eu","Finland","eufin","fin",14155106,1995
"Europe","eu","France","eufra","fra",110428730,1995
"Europe","eu","United Kingdom","eugbr","gbr",134814689,1995
"Europe","eu","Greece","eugrc","grc",92708,1995
"Europe","eu","Croatia","euhrv","hrv",14125,1995
"Europe","eu","Hungary","euhun","hun",397545,1995
"Europe","eu","Ireland","euirl","irl",8607894,1995
"Europe","eu","Iceland","euisl","isl",123476,1995
"Europe","eu","Italy","euita","ita",59697166,1995
"Europe","eu","Lithuania","eultu","ltu",12000,1995
"Europe","eu","Malta","eumlt","mlt",61148,1995
"Europe","eu","Netherlands","eunld","nld",57435422,1995
"Europe","eu","Norway","eunor","nor",17947428,1995
"Europe","eu","Poland","eupol","pol",498800,1995
"Europe","eu","Portugal","euprt","prt",2020518,1995
"Europe","eu","Romania","eurou","rou",10893,1995
"Europe","eu","Russia","eurus","rus",4393414,1995
"Europe","eu","Slovenia","eusvn","svn",573921,1995
"Europe","eu","Sweden","euswe","swe",40043239,1995
"Europe","eu","Ukraine","euukr","ukr",10403,1995
"Europe","eu","Yugoslavia","euyug","yug",45520,1995
"North America","na","Canada","nacan","can",32647909,1995
"North America","na","Dominican Republic","nadom","dom",40899,1995
"North America","na","Mexico","namex","mex",1643191,1995
"North America","na","United States Minor Outlying Islands","naumi","umi",199216,1995
"North America","na","United States","nausa","usa",1440081936,1995
"Oceania","oc","Australia","ocaus","aus",14883549,1995
"Oceania","oc","New Zealand","ocnzl","nzl",738095,1995
"Oceania","oc","Solomon Islands","ocslb","slb",2162,1995
"South America","sa","Argentina","saarg","arg",113532,1995
"South America","sa","Brazil","sabra","bra",2364226,1995
"South America","sa","Chile","sachl","chl",3429,1995
"South America","sa","Colombia","sacol","col",554388,1995
"South America","sa","Ecuador","saecu","ecu",31494,1995
"South America","sa","Peru","saper","per",3824,1995
"Africa","af","Cote d'Ivoire","afciv","civ",3909,1996
"Africa","af","Democratic Republic of the Congo","afcod","cod",4083.9999999999995,1996
"Africa","af","Egypt","afegy","egy",17151,1996
"Africa","af","Kenya","afken","ken",6257.000000000001,1996
"Africa","af","Morocco","afmar","mar",16448,1996
"Africa","af","Nigeria","afnga","nga",259167.00000000003,1996
"Africa","af","Sao Tome and Principe","afstp","stp",20360,1996
"Africa","af","Uganda","afuga","uga",13720,1996
"Africa","af","South Africa","afzaf","zaf",1242022,1996
"Asia","as","United Arab Emirates","asare","are",162004,1996
"Asia","as","Bangladesh","asbgd","bgd",129298,1996
"Asia","as","China","aschn","chn",106377835,1996
"Asia","as","Hong Kong","ashkg","hkg",62462168,1996
"Asia","as","Indonesia","asidn","idn",12603581,1996
"Asia","as","India","asind","ind",2643338,1996
"Asia","as","Israel","asisr","isr",38272917,1996
"Asia","as","Jordan","asjor","jor",5218,1996
"Asia","as","Japan","asjpn","jpn",2525997643,1996
"Asia","as","Kazakhstan","askaz","kaz",64996.00000000001,1996
"Asia","as","Lebanon","aslbn","lbn",3994,1996
"Asia","as","Sri Lanka","aslka","lka",693907,1996
"Asia","as","Macau","asmac","mac",54971.00000000001,1996
"Asia","as","Burma","asmmr","mmr",10496,1996
"Asia","as","Malaysia","asmys","mys",8954341,1996
"Asia","as","Nepal","asnpl","npl",6541,1996
"Asia","as","Pakistan","aspak","pak",1025466.9999999999,1996
"Asia","as","Philippines","asphl","phl",4536948,1996
"Asia","as","Saudi Arabia","assau","sau",75558,1996
"Asia","as","Singapore","assgp","sgp",84394009,1996
"Asia","as","Syria","assyr","syr",1077,1996
"Asia","as","Thailand","astha","tha",21584519,1996
"Asia","as","Turkey","astur","tur",499756,1996
"Asia","as","Chinese Taipei","astwn","twn",49397528,1996
"Asia","as","Uzbekistan","asuzb","uzb",4425,1996
"Asia","as","Vietnam","asvnm","vnm",13588,1996
"Asia","as","Yemen","asyem","yem",47809,1996
"Europe","eu","Austria","euaut","aut",22450580,1996
"Europe","eu","Bulgaria","eubgr","bgr",13678.000000000002,1996
"Europe","eu","Belarus","eublr","blr",9705,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",9222042,1996
"Europe","eu","Switzerland","euche","che",123380637,1996
"Europe","eu","Czechia","eucze","cze",1072854,1996
"Europe","eu","Germany","eudeu","deu",510642424,1996
"Europe","eu","Denmark","eudnk","dnk",36587626,1996
"Europe","eu","Spain","euesp","esp",8615901,1996
"Europe","eu","Estonia","euest","est",12843,1996
"Europe","eu","Finland","eufin","fin",14611937,1996
"Europe","eu","France","eufra","fra",79645833,1996
"Europe","eu","United Kingdom","eugbr","gbr",186867292,1996
"Europe","eu","Greece","eugrc","grc",91837,1996
"Europe","eu","Hungary","euhun","hun",600023,1996
"Europe","eu","Ireland","euirl","irl",10892070,1996
"Europe","eu","Iceland","euisl","isl",49312,1996
"Europe","eu","Italy","euita","ita",69785099,1996
"Europe","eu","Lithuania","eultu","ltu",3442,1996
"Europe","eu","Latvia","eulva","lva",141240,1996
"Europe","eu","Malta","eumlt","mlt",54759,1996
"Europe","eu","Netherlands","eunld","nld",157585235,1996
"Europe","eu","Norway","eunor","nor",24567751,1996
"Europe","eu","Poland","eupol","pol",649884,1996
"Europe","eu","Portugal","euprt","prt",2588294,1996
"Europe","eu","Romania","eurou","rou",12372,1996
"Europe","eu","Russia","eurus","rus",4582585,1996
"Europe","eu","Slovakia","eusvk","svk",20417,1996
"Europe","eu","Slovenia","eusvn","svn",688092,1996
"Europe","eu","Sweden","euswe","swe",41044266,1996
"Europe","eu","Ukraine","euukr","ukr",318442,1996
"North America","na","Canada","nacan","can",37170055,1996
"North America","na","Costa Rica","nacri","cri",31219,1996
"North America","na","Dominica","nadma","dma",27446,1996
"North America","na","Dominican Republic","nadom","dom",23914,1996
"North America","na","Grenada","nagrd","grd",11427.999999999998,1996
"North America","na","Jamaica","najam","jam",21108,1996
"North America","na","Mexico","namex","mex",2457511,1996
"North America","na","Panama","napan","pan",944.0000000000001,1996
"North America","na","United States Minor Outlying Islands","naumi","umi",484897,1996
"North America","na","United States","nausa","usa",1577628276,1996
"Oceania","oc","Australia","ocaus","aus",20399994,1996
"Oceania","oc","Kiribati","ockir","kir",76015.99999999999,1996
"Oceania","oc","New Zealand","ocnzl","nzl",645320,1996
"South America","sa","Argentina","saarg","arg",267516,1996
"South America","sa","Brazil","sabra","bra",3240912,1996
"South America","sa","Chile","sachl","chl",168693,1996
"South America","sa","Colombia","sacol","col",547187,1996
"South America","sa","Peru","saper","per",6100,1996
"South America","sa","Uruguay","saury","ury",2970,1996
