"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Egypt","afegy","egy",67329,1995
"Africa","af","Kenya","afken","ken",900.9999999999999,1995
"Africa","af","Libya","aflby","lby",49298,1995
"Africa","af","Morocco","afmar","mar",32758.000000000004,1995
"Africa","af","Tunisia","aftun","tun",25123,1995
"Africa","af","South Africa","afzaf","zaf",1576418,1995
"Asia","as","United Arab Emirates","asare","are",46516.99999999999,1995
"Asia","as","China","aschn","chn",116929990,1995
"Asia","as","Hong Kong","ashkg","hkg",3550131,1995
"Asia","as","Indonesia","asidn","idn",19696199,1995
"Asia","as","India","asind","ind",5791169,1995
"Asia","as","Iran","asirn","irn",208168,1995
"Asia","as","Israel","asisr","isr",436415,1995
"Asia","as","Japan","asjpn","jpn",523158650,1995
"Asia","as","Sri Lanka","aslka","lka",101853,1995
"Asia","as","Burma","asmmr","mmr",2445.9999999999995,1995
"Asia","as","Malaysia","asmys","mys",17943808,1995
"Asia","as","Pakistan","aspak","pak",2872834,1995
"Asia","as","Philippines","asphl","phl",7748062,1995
"Asia","as","North Korea","asprk","prk",601,1995
"Asia","as","Saudi Arabia","assau","sau",192697,1995
"Asia","as","Singapore","assgp","sgp",46490218,1995
"Asia","as","Thailand","astha","tha",14640878,1995
"Asia","as","Turkey","astur","tur",584038,1995
"Asia","as","Chinese Taipei","astwn","twn",50694473,1995
"Asia","as","Vietnam","asvnm","vnm",153013,1995
"Europe","eu","Austria","euaut","aut",26504838,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",10557649,1995
"Europe","eu","Switzerland","euche","che",5068225,1995
"Europe","eu","Czechia","eucze","cze",8921252,1995
"Europe","eu","Germany","eudeu","deu",57589185,1995
"Europe","eu","Denmark","eudnk","dnk",4200864,1995
"Europe","eu","Spain","euesp","esp",19426387,1995
"Europe","eu","Finland","eufin","fin",3912511,1995
"Europe","eu","France","eufra","fra",42157808,1995
"Europe","eu","United Kingdom","eugbr","gbr",25320184,1995
"Europe","eu","Greece","eugrc","grc",765658,1995
"Europe","eu","Hungary","euhun","hun",280436,1995
"Europe","eu","Ireland","euirl","irl",806446,1995
"Europe","eu","Italy","euita","ita",62230765,1995
"Europe","eu","Latvia","eulva","lva",339259,1995
"Europe","eu","Netherlands","eunld","nld",4325721,1995
"Europe","eu","Norway","eunor","nor",3993339,1995
"Europe","eu","Poland","eupol","pol",9670,1995
"Europe","eu","Portugal","euprt","prt",2648335,1995
"Europe","eu","Russia","eurus","rus",600150,1995
"Europe","eu","Slovakia","eusvk","svk",33639,1995
