"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Egypt","afegy","egy",526,1995
"Africa","af","Ghana","afgha","gha",11357.999999999998,1995
"Africa","af","Nigeria","afnga","nga",598,1995
"Africa","af","South Africa","afzaf","zaf",81253,1995
"Asia","as","United Arab Emirates","asare","are",9055576,1995
"Asia","as","China","aschn","chn",96138004,1995
"Asia","as","Cyprus","ascyp","cyp",3413.0000000000005,1995
"Asia","as","Hong Kong","ashkg","hkg",13122268,1995
"Asia","as","Indonesia","asidn","idn",6958139.999999999,1995
"Asia","as","India","asind","ind",1359844,1995
"Asia","as","Iran","asirn","irn",18623,1995
"Asia","as","Israel","asisr","isr",91165,1995
"Asia","as","Japan","asjpn","jpn",930396838,1995
"Asia","as","Kuwait","askwt","kwt",22574,1995
"Asia","as","Sri Lanka","aslka","lka",3667.9999999999995,1995
"Asia","as","Mongolia","asmng","mng",8629,1995
"Asia","as","Malaysia","asmys","mys",4443582,1995
"Asia","as","Oman","asomn","omn",47984,1995
"Asia","as","Pakistan","aspak","pak",2560,1995
"Asia","as","Philippines","asphl","phl",6688070.000000001,1995
"Asia","as","Saudi Arabia","assau","sau",362663,1995
"Asia","as","Singapore","assgp","sgp",32857388,1995
"Asia","as","Syria","assyr","syr",10035,1995
"Asia","as","Thailand","astha","tha",3866263,1995
"Asia","as","Turkey","astur","tur",94317,1995
"Asia","as","Chinese Taipei","astwn","twn",18924211,1995
"Asia","as","Vietnam","asvnm","vnm",6764242,1995
"Europe","eu","Austria","euaut","aut",25263957,1995
"Europe","eu","Belarus","eublr","blr",307413.00000000006,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",5971554,1995
"Europe","eu","Switzerland","euche","che",3350779,1995
"Europe","eu","Czechia","eucze","cze",167500,1995
"Europe","eu","Germany","eudeu","deu",374565630,1995
"Europe","eu","Denmark","eudnk","dnk",3811473,1995
"Europe","eu","Spain","euesp","esp",38287525,1995
"Europe","eu","Finland","eufin","fin",3838174,1995
"Europe","eu","France","eufra","fra",137546673,1995
"Europe","eu","United Kingdom","eugbr","gbr",153817476,1995
"Europe","eu","Greece","eugrc","grc",7683335,1995
"Europe","eu","Hungary","euhun","hun",682192,1995
"Europe","eu","Ireland","euirl","irl",992206,1995
"Europe","eu","Italy","euita","ita",87643721,1995
"Europe","eu","Malta","eumlt","mlt",2259127,1995
"Europe","eu","Netherlands","eunld","nld",135002307,1995
"Europe","eu","Norway","eunor","nor",6581996,1995
"Europe","eu","Poland","eupol","pol",4055378,1995
"Europe","eu","Portugal","euprt","prt",24301,1995
"Europe","eu","Romania","eurou","rou",11839,1995
"Europe","eu","Russia","eurus","rus",27348248,1995
"Europe","eu","Slovakia","eusvk","svk",703,1995
"Europe","eu","Sweden","euswe","swe",248661635,1995
"Europe","eu","Ukraine","euukr","ukr",15980896,1995
"North America","na","Belize","nablz","blz",1598934,1995
"North America","na","Canada","nacan","can",28263645,1995
"North America","na","Honduras","nahnd","hnd",1214115,1995
"North America","na","Mexico","namex","mex",1805831,1995
"North America","na","Panama","napan","pan",363759803,1995
"North America","na","United States Minor Outlying Islands","naumi","umi",336061,1995
"North America","na","United States","nausa","usa",2940955033,1995
"Oceania","oc","Australia","ocaus","aus",43248021,1995
"Oceania","oc","New Zealand","ocnzl","nzl",118498,1995
"South America","sa","Brazil","sabra","bra",1343233,1995
"South America","sa","Chile","sachl","chl",14720,1995
"South America","sa","Colombia","sacol","col",4525,1995
"South America","sa","Ecuador","saecu","ecu",10179,1995
"South America","sa","Paraguay","sapry","pry",553.9999999999999,1995
"South America","sa","Uruguay","saury","ury",763218.9999999999,1995
"Africa","af","Egypt","afegy","egy",1490.9999999999998,1996
"Africa","af","Ghana","afgha","gha",24927,1996
"Africa","af","Senegal","afsen","sen",23888,1996
"Africa","af","Uganda","afuga","uga",211485,1996
"Africa","af","South Africa","afzaf","zaf",2347443,1996
"Asia","as","United Arab Emirates","asare","are",69171,1996
"Asia","as","Bahrain","asbhr","bhr",4001.0000000000005,1996
"Asia","as","China","aschn","chn",213676947,1996
"Asia","as","Cyprus","ascyp","cyp",3805500,1996
"Asia","as","Hong Kong","ashkg","hkg",7280359,1996
"Asia","as","Indonesia","asidn","idn",6854705,1996
"Asia","as","India","asind","ind",7267134.999999999,1996
"Asia","as","Israel","asisr","isr",2099687,1996
"Asia","as","Japan","asjpn","jpn",858589796,1996
"Asia","as","Kazakhstan","askaz","kaz",103408,1996
"Asia","as","Kuwait","askwt","kwt",52898.99999999999,1996
"Asia","as","Sri Lanka","aslka","lka",3070,1996
"Asia","as","Mongolia","asmng","mng",35403,1996
"Asia","as","Malaysia","asmys","mys",2080361,1996
"Asia","as","Oman","asomn","omn",432426,1996
"Asia","as","Pakistan","aspak","pak",18000,1996
"Asia","as","Philippines","asphl","phl",192840,1996
"Asia","as","Saudi Arabia","assau","sau",299480,1996
"Asia","as","Singapore","assgp","sgp",40932505,1996
"Asia","as","Thailand","astha","tha",1823647,1996
"Asia","as","Turkey","astur","tur",215016,1996
"Asia","as","Chinese Taipei","astwn","twn",41953391,1996
"Asia","as","Vietnam","asvnm","vnm",131379,1996
"Asia","as","Yemen","asyem","yem",7361.999999999999,1996
"Europe","eu","Austria","euaut","aut",20129318,1996
"Europe","eu","Bulgaria","eubgr","bgr",532,1996
"Europe","eu","Belarus","eublr","blr",5153,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",20405651,1996
"Europe","eu","Switzerland","euche","che",11997842,1996
"Europe","eu","Czechia","eucze","cze",27562,1996
"Europe","eu","Germany","eudeu","deu",509943325,1996
"Europe","eu","Denmark","eudnk","dnk",24367462.999999996,1996
"Europe","eu","Spain","euesp","esp",23026568,1996
"Europe","eu","Finland","eufin","fin",7225407,1996
"Europe","eu","France","eufra","fra",174862025,1996
"Europe","eu","United Kingdom","eugbr","gbr",185673818,1996
"Europe","eu","Greece","eugrc","grc",846936,1996
"Europe","eu","Hungary","euhun","hun",2503538,1996
"Europe","eu","Ireland","euirl","irl",4799,1996
"Europe","eu","Italy","euita","ita",134223672,1996
"Europe","eu","Lithuania","eultu","ltu",10000,1996
"Europe","eu","Malta","eumlt","mlt",7655,1996
"Europe","eu","Netherlands","eunld","nld",167139169,1996
"Europe","eu","Norway","eunor","nor",31652208,1996
"Europe","eu","Poland","eupol","pol",15724047.999999998,1996
"Europe","eu","Portugal","euprt","prt",1380313,1996
"Europe","eu","Romania","eurou","rou",10952,1996
"Europe","eu","Russia","eurus","rus",243678902,1996
"Europe","eu","Slovenia","eusvn","svn",1744,1996
"Europe","eu","Sweden","euswe","swe",96993328,1996
"Europe","eu","Ukraine","euukr","ukr",5061419,1996
"North America","na","Antigua and Barbuda","naatg","atg",1472,1996
"North America","na","Belize","nablz","blz",2816892.0000000005,1996
"North America","na","Canada","nacan","can",97099768,1996
"North America","na","Costa Rica","nacri","cri",5660,1996
"North America","na","Honduras","nahnd","hnd",955613,1996
"North America","na","Saint Lucia","nalca","lca",84150,1996
"North America","na","Mexico","namex","mex",1577941,1996
"North America","na","Panama","napan","pan",499932514,1996
"North America","na","El Salvador","naslv","slv",7463.999999999999,1996
"North America","na","United States Minor Outlying Islands","naumi","umi",4158,1996
"North America","na","United States","nausa","usa",2959064565,1996
"North America","na","Saint Vincent and the Grenadines","navct","vct",475283,1996
"Oceania","oc","Australia","ocaus","aus",26959482,1996
"Oceania","oc","Kiribati","ockir","kir",1621522.0000000002,1996
"Oceania","oc","New Zealand","ocnzl","nzl",1687075,1996
"Oceania","oc","Solomon Islands","ocslb","slb",594,1996
"Oceania","oc","Vanuatu","ocvut","vut",7852866,1996
"South America","sa","Argentina","saarg","arg",29469.999999999996,1996
"South America","sa","Brazil","sabra","bra",8632727,1996
"South America","sa","Chile","sachl","chl",1500,1996
"South America","sa","Ecuador","saecu","ecu",41113,1996
"South America","sa","Paraguay","sapry","pry",6269,1996
"South America","sa","Uruguay","saury","ury",632428,1996
"Africa","af","Angola","afago","ago",5069030,1997
"Africa","af","Democratic Republic of the Congo","afcod","cod",76868,1997
"Africa","af","Egypt","afegy","egy",13613,1997
"Africa","af","Ghana","afgha","gha",16785,1997
"Africa","af","Guinea","afgin","gin",35778,1997
"Africa","af","Gambia","afgmb","gmb",6084,1997
"Africa","af","Morocco","afmar","mar",11373,1997
"Africa","af","Sierra Leone","afsle","sle",4651,1997
"Africa","af","Uganda","afuga","uga",15071,1997
"Africa","af","South Africa","afzaf","zaf",2034318,1997
"Africa","af","Zimbabwe","afzwe","zwe",3768.9999999999995,1997
"Asia","as","United Arab Emirates","asare","are",16495,1997
"Asia","as","Bangladesh","asbgd","bgd",942767,1997
"Asia","as","China","aschn","chn",62058214,1997
"Asia","as","Hong Kong","ashkg","hkg",21702854,1997
"Asia","as","Indonesia","asidn","idn",5095899,1997
"Asia","as","India","asind","ind",2221867,1997
"Asia","as","Iran","asirn","irn",84005,1997
"Asia","as","Israel","asisr","isr",2950422,1997
"Asia","as","Jordan","asjor","jor",28052,1997
"Asia","as","Japan","asjpn","jpn",633314539,1997
"Asia","as","Kazakhstan","askaz","kaz",55802,1997
"Asia","as","Cambodia","askhm","khm",611506,1997
"Asia","as","Kuwait","askwt","kwt",16292.000000000002,1997
"Asia","as","Mongolia","asmng","mng",11366,1997
"Asia","as","Malaysia","asmys","mys",3259561,1997
"Asia","as","Oman","asomn","omn",16116.000000000002,1997
"Asia","as","Pakistan","aspak","pak",55235.99999999999,1997
"Asia","as","Philippines","asphl","phl",3446393.0000000005,1997
"Asia","as","North Korea","asprk","prk",175137,1997
