"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Egypt","afegy","egy",187921,1995
"Africa","af","Mozambique","afmoz","moz",36626.99999999999,1995
"Africa","af","South Africa","afzaf","zaf",37375,1995
"Asia","as","United Arab Emirates","asare","are",1689870.9999999998,1995
"Asia","as","Bahrain","asbhr","bhr",152821,1995
"Asia","as","China","aschn","chn",5937894,1995
"Asia","as","Cyprus","ascyp","cyp",39677,1995
"Asia","as","Hong Kong","ashkg","hkg",26019578,1995
"Asia","as","Indonesia","asidn","idn",241684.00000000003,1995
"Asia","as","India","asind","ind",8317138,1995
"Asia","as","Japan","asjpn","jpn",75896103,1995
"Asia","as","South Korea","askor","kor",465097,1995
"Asia","as","Kuwait","askwt","kwt",342550,1995
"Asia","as","Sri Lanka","aslka","lka",33595,1995
"Asia","as","Maldives","asmdv","mdv",59883.99999999999,1995
"Asia","as","Malaysia","asmys","mys",5698058,1995
"Asia","as","Oman","asomn","omn",512648,1995
"Asia","as","Pakistan","aspak","pak",19869,1995
"Asia","as","Qatar","asqat","qat",328572,1995
"Asia","as","Saudi Arabia","assau","sau",4585169,1995
"Asia","as","Singapore","assgp","sgp",5184143,1995
"Asia","as","Thailand","astha","tha",6174253,1995
"Asia","as","Turkey","astur","tur",2659,1995
"Asia","as","Chinese Taipei","astwn","twn",613772,1995
"Europe","eu","Austria","euaut","aut",1376043,1995
"Europe","eu","Bulgaria","eubgr","bgr",125536,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",43835745,1995
"Europe","eu","Switzerland","euche","che",697069,1995
"Europe","eu","Germany","eudeu","deu",26474724,1995
"Europe","eu","Denmark","eudnk","dnk",3488838,1995
"Europe","eu","Spain","euesp","esp",247530,1995
"Europe","eu","Finland","eufin","fin",66519,1995
"Europe","eu","France","eufra","fra",3521280.0000000005,1995
"Europe","eu","United Kingdom","eugbr","gbr",25891314,1995
"Europe","eu","Gibraltar","eugib","gib",63953.99999999999,1995
"Europe","eu","Greece","eugrc","grc",8396,1995
"Europe","eu","Croatia","euhrv","hrv",5041,1995
"Europe","eu","Hungary","euhun","hun",2923,1995
"Europe","eu","Ireland","euirl","irl",80977,1995
"Europe","eu","Italy","euita","ita",631982,1995
"Europe","eu","Netherlands","eunld","nld",17801302,1995
"Europe","eu","Norway","eunor","nor",1233321,1995
"Europe","eu","Poland","eupol","pol",204201,1995
"Europe","eu","Portugal","euprt","prt",1584545.9999999998,1995
"Europe","eu","Russia","eurus","rus",36194,1995
"Europe","eu","Slovenia","eusvn","svn",47236.99999999999,1995
"Europe","eu","Sweden","euswe","swe",16714.000000000004,1995
"North America","na","Canada","nacan","can",1411520,1995
"North America","na","Mexico","namex","mex",73812,1995
"North America","na","United States","nausa","usa",71609110.99999999,1995
"Oceania","oc","Australia","ocaus","aus",49273,1995
"South America","sa","Brazil","sabra","bra",213500,1995
"South America","sa","Chile","sachl","chl",98768,1995
"South America","sa","Paraguay","sapry","pry",47663.99999999999,1995
"Africa","af","Egypt","afegy","egy",83357.99999999999,1996
"Africa","af","Guinea","afgin","gin",21254,1996
"Africa","af","Mozambique","afmoz","moz",25066.999999999996,1996
"Asia","as","United Arab Emirates","asare","are",1531368,1996
"Asia","as","Bahrain","asbhr","bhr",63681.99999999999,1996
"Asia","as","China","aschn","chn",4315008,1996
"Asia","as","Cyprus","ascyp","cyp",40646,1996
"Asia","as","Hong Kong","ashkg","hkg",20223903,1996
"Asia","as","Indonesia","asidn","idn",64663,1996
"Asia","as","India","asind","ind",4700812,1996
"Asia","as","Japan","asjpn","jpn",71252898,1996
"Asia","as","South Korea","askor","kor",94500,1996
"Asia","as","Kuwait","askwt","kwt",320212,1996
"Asia","as","Malaysia","asmys","mys",6881443,1996
"Asia","as","Oman","asomn","omn",562051,1996
"Asia","as","Pakistan","aspak","pak",50512,1996
"Asia","as","Philippines","asphl","phl",140250,1996
"Asia","as","Qatar","asqat","qat",650303,1996
"Asia","as","Saudi Arabia","assau","sau",4265035.999999999,1996
"Asia","as","Singapore","assgp","sgp",3442222,1996
"Asia","as","Thailand","astha","tha",10343838,1996
"Asia","as","Turkey","astur","tur",14217,1996
"Asia","as","Chinese Taipei","astwn","twn",33416,1996
"Europe","eu","Austria","euaut","aut",1285799,1996
"Europe","eu","Bulgaria","eubgr","bgr",20865,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",35656571,1996
"Europe","eu","Switzerland","euche","che",1043118,1996
"Europe","eu","Czechia","eucze","cze",77536,1996
"Europe","eu","Germany","eudeu","deu",21564133.000000004,1996
"Europe","eu","Denmark","eudnk","dnk",3887228,1996
"Europe","eu","Spain","euesp","esp",147233,1996
"Europe","eu","Finland","eufin","fin",43500,1996
"Europe","eu","France","eufra","fra",6920614.000000001,1996
"Europe","eu","United Kingdom","eugbr","gbr",33841682,1996
"Europe","eu","Croatia","euhrv","hrv",6845,1996
"Europe","eu","Hungary","euhun","hun",49172,1996
"Europe","eu","Italy","euita","ita",39999,1996
"Europe","eu","North Macedonia","eumkd","mkd",4338,1996
"Europe","eu","Netherlands","eunld","nld",17745160.999999996,1996
"Europe","eu","Norway","eunor","nor",1994283,1996
"Europe","eu","Poland","eupol","pol",499074,1996
"Europe","eu","Portugal","euprt","prt",364766,1996
"Europe","eu","Russia","eurus","rus",495658,1996
"Europe","eu","Sweden","euswe","swe",139734,1996
"North America","na","Canada","nacan","can",2132570,1996
"North America","na","Trinidad and Tobago","natto","tto",2062,1996
"North America","na","United States","nausa","usa",113173898,1996
"Oceania","oc","Australia","ocaus","aus",49841,1996
"South America","sa","Brazil","sabra","bra",111499,1996
"South America","sa","Chile","sachl","chl",87795,1996
"Africa","af","Nigeria","afnga","nga",58766.99999999999,1997
"Asia","as","United Arab Emirates","asare","are",989935,1997
"Asia","as","Bahrain","asbhr","bhr",34711.99999999999,1997
"Asia","as","Brunei","asbrn","brn",1279.0000000000002,1997
"Asia","as","China","aschn","chn",4738968,1997
"Asia","as","Cyprus","ascyp","cyp",20242,1997
"Asia","as","Hong Kong","ashkg","hkg",23446899,1997
"Asia","as","Indonesia","asidn","idn",606815,1997
"Asia","as","India","asind","ind",10531859,1997
"Asia","as","Iran","asirn","irn",57141.00000000001,1997
"Asia","as","Japan","asjpn","jpn",53864603,1997
"Asia","as","South Korea","askor","kor",89135,1997
"Asia","as","Kuwait","askwt","kwt",278152,1997
"Asia","as","Lebanon","aslbn","lbn",4124,1997
"Asia","as","Sri Lanka","aslka","lka",176487,1997
"Asia","as","Malaysia","asmys","mys",8301727,1997
"Asia","as","Oman","asomn","omn",439097,1997
"Asia","as","Qatar","asqat","qat",426251,1997
"Asia","as","Saudi Arabia","assau","sau",1566245.0000000002,1997
"Asia","as","Singapore","assgp","sgp",4485059,1997
"Asia","as","Thailand","astha","tha",9312595,1997
"Asia","as","Chinese Taipei","astwn","twn",4165171.9999999995,1997
"Europe","eu","Austria","euaut","aut",1141099,1997
"Europe","eu","Bulgaria","eubgr","bgr",5887,1997
"Europe","eu","Belgium-Luxembourg","eublx","blx",28689273,1997
"Europe","eu","Switzerland","euche","che",508114,1997
