"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Democratic Republic of the Congo","afcod","cod",291887,1995
"Asia","as","United Arab Emirates","asare","are",103097.00000000001,1995
"Asia","as","Bhutan","asbtn","btn",12059.000000000002,1995
"Asia","as","China","aschn","chn",36178740,1995
"Asia","as","Hong Kong","ashkg","hkg",10218974,1995
"Asia","as","Indonesia","asidn","idn",15790078.999999998,1995
"Asia","as","India","asind","ind",63343826,1995
"Asia","as","Iran","asirn","irn",401115,1995
"Asia","as","Japan","asjpn","jpn",97749983,1995
"Asia","as","South Korea","askor","kor",111188092,1995
"Asia","as","Sri Lanka","aslka","lka",71998,1995
"Asia","as","Burma","asmmr","mmr",12642.000000000002,1995
"Asia","as","Malaysia","asmys","mys",9067646,1995
"Asia","as","Nepal","asnpl","npl",46623,1995
"Asia","as","Pakistan","aspak","pak",265077,1995
"Asia","as","North Korea","asprk","prk",2258,1995
"Asia","as","Saudi Arabia","assau","sau",1141630,1995
"Asia","as","Singapore","assgp","sgp",30476208,1995
"Asia","as","Thailand","astha","tha",11477770,1995
"Asia","as","Turkey","astur","tur",3639364,1995
"Asia","as","Chinese Taipei","astwn","twn",36103670,1995
"Europe","eu","Austria","euaut","aut",2525368,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",6605046,1995
"Europe","eu","Switzerland","euche","che",1351868,1995
"Europe","eu","Czechia","eucze","cze",6167,1995
"Europe","eu","Germany","eudeu","deu",9032353,1995
"Europe","eu","Denmark","eudnk","dnk",325985,1995
"Europe","eu","Spain","euesp","esp",4795086,1995
"Europe","eu","Finland","eufin","fin",100574,1995
"Europe","eu","France","eufra","fra",8911655,1995
"Europe","eu","United Kingdom","eugbr","gbr",15273786,1995
"Europe","eu","Italy","euita","ita",6653326,1995
"Europe","eu","Netherlands","eunld","nld",3607370,1995
"Europe","eu","Norway","eunor","nor",492843,1995
"Europe","eu","Poland","eupol","pol",209000,1995
"Europe","eu","Romania","eurou","rou",8000,1995
"Europe","eu","Russia","eurus","rus",15597835,1995
"Europe","eu","Sweden","euswe","swe",979096,1995
"North America","na","Canada","nacan","can",4359032,1995
"North America","na","United States","nausa","usa",5954959,1995
"Oceania","oc","Australia","ocaus","aus",10282989,1995
"Oceania","oc","New Zealand","ocnzl","nzl",28606.999999999996,1995
"South America","sa","Argentina","saarg","arg",1150,1995
"South America","sa","Brazil","sabra","bra",1586600.9999999998,1995
"South America","sa","Peru","saper","per",127300,1995
"Africa","af","Cameroon","afcmr","cmr",18285,1996
"Africa","af","Gambia","afgmb","gmb",77228.00000000001,1996
"Africa","af","Guinea-Bissau","afgnb","gnb",2700,1996
"Africa","af","Mauritius","afmus","mus",189982,1996
"Africa","af","Rwanda","afrwa","rwa",16046,1996
"Africa","af","Saint Helena","afshn","shn",38836,1996
"Africa","af","Sao Tome and Principe","afstp","stp",11577,1996
"Africa","af","Togo","aftgo","tgo",1983,1996
"Africa","af","South Africa","afzaf","zaf",627714,1996
"Africa","af","Zambia","afzmb","zmb",1346558,1996
"Asia","as","United Arab Emirates","asare","are",635754,1996
"Asia","as","China","aschn","chn",26372814,1996
"Asia","as","Christmas Island","ascxr","cxr",233790,1996
"Asia","as","Hong Kong","ashkg","hkg",10623523,1996
"Asia","as","Indonesia","asidn","idn",11531493,1996
"Asia","as","India","asind","ind",125219238,1996
"Asia","as","Jordan","asjor","jor",102022,1996
"Asia","as","Japan","asjpn","jpn",165917516,1996
"Asia","as","South Korea","askor","kor",97897338,1996
"Asia","as","Kuwait","askwt","kwt",43188,1996
"Asia","as","Sri Lanka","aslka","lka",750479,1996
"Asia","as","Macau","asmac","mac",1085,1996
"Asia","as","Malaysia","asmys","mys",26433557,1996
"Asia","as","Nepal","asnpl","npl",35503,1996
"Asia","as","Pakistan","aspak","pak",170472,1996
"Asia","as","Philippines","asphl","phl",1072905,1996
"Asia","as","North Korea","asprk","prk",3886644,1996
"Asia","as","Saudi Arabia","assau","sau",1351422,1996
"Asia","as","Singapore","assgp","sgp",44065773,1996
"Asia","as","Syria","assyr","syr",2099,1996
"Asia","as","Thailand","astha","tha",18777100,1996
"Asia","as","Turkey","astur","tur",4215395,1996
"Asia","as","Chinese Taipei","astwn","twn",43693055,1996
"Asia","as","Vietnam","asvnm","vnm",5445,1996
"Europe","eu","Austria","euaut","aut",602025,1996
"Europe","eu","Belarus","eublr","blr",31094,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",7252498,1996
"Europe","eu","Switzerland","euche","che",212633,1996
"Europe","eu","Czechia","eucze","cze",64635,1996
"Europe","eu","Germany","eudeu","deu",15751862,1996
"Europe","eu","Denmark","eudnk","dnk",1303918,1996
"Europe","eu","Spain","euesp","esp",2867065,1996
"Europe","eu","Finland","eufin","fin",219341,1996
"Europe","eu","France","eufra","fra",5999937,1996
"Europe","eu","United Kingdom","eugbr","gbr",11179449,1996
"Europe","eu","Greece","eugrc","grc",2424747,1996
"Europe","eu","Hungary","euhun","hun",1268,1996
"Europe","eu","Ireland","euirl","irl",52757,1996
"Europe","eu","Italy","euita","ita",3973496,1996
"Europe","eu","Lithuania","eultu","ltu",4600,1996
"Europe","eu","Netherlands","eunld","nld",7354261,1996
"Europe","eu","Norway","eunor","nor",611345,1996
"Europe","eu","Poland","eupol","pol",1861932,1996
"Europe","eu","Portugal","euprt","prt",23870,1996
"Europe","eu","Romania","eurou","rou",501340,1996
"Europe","eu","Russia","eurus","rus",4773294,1996
"Europe","eu","Sweden","euswe","swe",14498922,1996
"Europe","eu","Ukraine","euukr","ukr",27910,1996
"Europe","eu","Yugoslavia","euyug","yug",13454,1996
"North America","na","Netherlands Antilles","naant","ant",46599,1996
"North America","na","Bahamas","nabhs","bhs",9873,1996
"North America","na","Canada","nacan","can",10657539,1996
"North America","na","Jamaica","najam","jam",1623804,1996
"North America","na","Mexico","namex","mex",85002.99999999999,1996
"North America","na","Panama","napan","pan",31013,1996
"North America","na","United States","nausa","usa",9044527,1996
"Oceania","oc","Australia","ocaus","aus",25386513,1996
"Oceania","oc","New Zealand","ocnzl","nzl",147035,1996
"South America","sa","Argentina","saarg","arg",1461175,1996
"South America","sa","Brazil","sabra","bra",1734160.0000000002,1996
"South America","sa","Chile","sachl","chl",22346460,1996
"South America","sa","Peru","saper","per",958113,1996
"Africa","af","Cote d'Ivoire","afciv","civ",10270.999999999998,1997
"Africa","af","Cameroon","afcmr","cmr",53431,1997
"Africa","af","Democratic Republic of the Congo","afcod","cod",645,1997
"Africa","af","Comoros","afcom","com",2585,1997
"Africa","af","Cape Verde","afcpv","cpv",12828,1997
"Africa","af","Egypt","afegy","egy",11320,1997
"Africa","af","Kenya","afken","ken",371608,1997
"Africa","af","South Africa","afzaf","zaf",2368841,1997
"Asia","as","Bahrain","asbhr","bhr",2244004,1997
"Asia","as","China","aschn","chn",36676145,1997
"Asia","as","Christmas Island","ascxr","cxr",2403,1997
"Asia","as","Cyprus","ascyp","cyp",130689,1997
"Asia","as","Hong Kong","ashkg","hkg",7325718,1997
"Asia","as","Indonesia","asidn","idn",14554592,1997
"Asia","as","India","asind","ind",108255638.99999999,1997
"Asia","as","Iran","asirn","irn",162922,1997
"Asia","as","Israel","asisr","isr",5518,1997
"Asia","as","Japan","asjpn","jpn",164982864,1997
"Asia","as","Cambodia","askhm","khm",3062,1997
"Asia","as","South Korea","askor","kor",126262846,1997
"Asia","as","Kuwait","askwt","kwt",11828,1997
