"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Other Animals",10106,"Animal Products",1,508144,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,2592284,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,68352,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,241769,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,10273495,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,23014584,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,268758,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,14541318,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,284000529,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,4678593,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,71368,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,213500,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,54913.99999999999,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,47236.99999999999,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,13401,1995
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,11595.999999999998,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,164463,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,273428,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,1323542,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,815865,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,344852.00000000006,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,25668.000000000004,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,27889,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,8976,1995
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,11905.999999999998,1995
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,5912,1995
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,1327,1995
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,782,1995
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,2615.0000000000005,1995
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,16094,1995
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,24394,1995
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,6665089.000000001,1995
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,41612,1995
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,915,1995
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,25494,1995
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,246439,1995
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,22097,1995
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,12187,1995
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,56122,1995
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,10095,1995
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,11947,1995
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,104630,1995
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,532,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,3804,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,765.9999999999999,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,41005,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,2381.9999999999995,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,1391,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,2614,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,64899,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,38426126,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,219870,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,59239,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,42446.99999999999,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1896.9999999999998,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,20361,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,268823,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,3499738,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,21233,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,3608,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,5003,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,889,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,34833,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,5148,1995
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,22351,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,269647,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable material for brooms and brushes",21403,"Vegetable Products",2,4588.999999999999,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,10426,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Animal Fats",31506,"Animal and Vegetable Bi-Products",3,6064,1995
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,200987,1995
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,89455,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,20079,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,25929.000000000004,1995
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,26381,1995
"Animal or vegetable fats, oils, & waxes",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,9009,1995
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,750183,1995
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,42468.99999999999,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,12157,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,4863601,1995
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,21942,1995
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,21690,1995
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,858,1995
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,8954,1995
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,24036,1995
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,51355,1995
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,23343,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,9582,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,5206,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,12401,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,23218,1995
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,724.0000000000001,1995
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,18994,1995
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,31276,1995
"Beverages, spirits, & vinegar",422,"Flavored Water",42202,"Foodstuffs",4,1537,1995
