"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,4159,1995
"Live animals",101,"Bovine",10102,"Animal Products",1,809223,1995
"Live animals",101,"Pigs",10103,"Animal Products",1,15044,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,2683189,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,37373,1995
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,5914,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,24908,1995
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,28507,1995
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,1260327,1995
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,23104,1995
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,15774,1995
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,19897.000000000004,1995
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,4773,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,4138409,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,1300888,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,56861,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,197452,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,140135,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,1502949,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,38533,1995
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,19997,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,47621230,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,10008,1995
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,74100,1995
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,2505260.9999999995,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,189976,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,113314,1995
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,1564,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,31713,1995
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,3201,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,3134,1995
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,3948884.9999999995,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,37908,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,463304.99999999994,1995
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,2289,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,5438,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,327989,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,11685,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,2833.9999999999995,1995
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,220042,1995
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,59688,1995
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,6209204,1995
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,1039.0000000000002,1995
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,30735,1995
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,1259.0000000000002,1995
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,11705,1995
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,4880,1995
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,57744,1995
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,43328,1995
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,8659019,1995
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,456996,1995
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,2619454,1995
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,1205,1995
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,1594114,1995
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,8447951,1995
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,2569360,1995
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,937,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,4504765,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,16551,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,1407299,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,620,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,13504.000000000002,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,282286,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,94685,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,149155,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,8005086.000000001,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,1794494,1995
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,269890.99999999994,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,2022902,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,2029977,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,2605865,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,280649667,1995
"Cereals",210,"Rye",21002,"Vegetable Products",2,7472970,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,56709,1995
"Cereals",210,"Corn",21005,"Vegetable Products",2,2085404,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,350895304,1995
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,849719,1995
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,5606,1995
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,777845,1995
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,37527,1995
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,25072,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,73939,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,141751,1995
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,279136,1995
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,2629892,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,3413.9999999999995,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,3534,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,11160242,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,183532,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,47185248,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,27894.000000000004,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,10978934.999999998,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,3075,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,1924576,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,4037,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,882565,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,27937,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,257964,1995
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,507043,1995
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,133612,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,1949,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable material for brooms and brushes",21403,"Vegetable Products",2,13959.000000000002,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,427760,1995
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,23870012,1995
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,1206836,1995
"Animal or vegetable fats, oils, & waxes",315,"Fish oil",31504,"Animal and Vegetable Bi-Products",3,16572,1995
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,20888,1995
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,185951390,1995
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,21524,1995
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,602862,1995
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,2394,1995
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,10468495,1995
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,27648,1995
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,3478173,1995
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,4517508,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,171419,1995
"Animal or vegetable fats, oils, & waxes",315,"Other Vegetable Oils",31516,"Animal and Vegetable Bi-Products",3,2760466,1995
"Animal or vegetable fats, oils, & waxes",315,"Margarine",31517,"Animal and Vegetable Bi-Products",3,425942,1995
"Animal or vegetable fats, oils, & waxes",315,"Inedible Fats and Oils",31518,"Animal and Vegetable Bi-Products",3,182004,1995
"Animal or vegetable fats, oils, & waxes",315,"Stearic Acid",31519,"Animal and Vegetable Bi-Products",3,3745889,1995
"Animal or vegetable fats, oils, & waxes",315,"Glycerol",31520,"Animal and Vegetable Bi-Products",3,2393,1995
"Animal or vegetable fats, oils, & waxes",315,"Vegetable waxes and beeswax",31521,"Animal and Vegetable Bi-Products",3,79175,1995
"Preparations of fish, crustacenas, & molluscs",416,"Sausages",41601,"Foodstuffs",4,11353,1995
"Preparations of fish, crustacenas, & molluscs",416,"Other Prepared Meat",41602,"Foodstuffs",4,8718,1995
"Preparations of fish, crustacenas, & molluscs",416,"Animal Extracts",41603,"Foodstuffs",4,1957,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Fish",41604,"Foodstuffs",4,73326,1995
"Preparations of fish, crustacenas, & molluscs",416,"Processed Crustaceans",41605,"Foodstuffs",4,1984,1995
"Sugars & confectioneries",417,"Raw Sugar",41701,"Foodstuffs",4,26470126,1995
"Sugars & confectioneries",417,"Other Sugars",41702,"Foodstuffs",4,1856105,1995
"Sugars & confectioneries",417,"Molasses",41703,"Foodstuffs",4,616,1995
"Sugars & confectioneries",417,"Confectionery Sugar",41704,"Foodstuffs",4,1153027,1995
"Cocoa & cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,2755,1995
"Cocoa & cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,56253,1995
"Cocoa & cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,868979,1995
"Preparations of cereals, flour, starch or milk",419,"Malt Extract",41901,"Foodstuffs",4,8541302,1995
"Preparations of cereals, flour, starch or milk",419,"Pasta",41902,"Foodstuffs",4,244984,1995
"Preparations of cereals, flour, starch or milk",419,"Tapioca",41903,"Foodstuffs",4,1255709,1995
"Preparations of cereals, flour, starch or milk",419,"Prepared Cereals",41904,"Foodstuffs",4,172592,1995
"Preparations of cereals, flour, starch or milk",419,"Baked Goods",41905,"Foodstuffs",4,1500270,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Pickled Foods",42001,"Foodstuffs",4,23187,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Tomatoes",42002,"Foodstuffs",4,26614,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Processed Mushrooms",42003,"Foodstuffs",4,26252,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,114457,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Vegetables",42005,"Foodstuffs",4,88305,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,9086,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Jams",42007,"Foodstuffs",4,96871,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,210278,1995
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Fruit Juice",42009,"Foodstuffs",4,774184,1995
"Miscellaneous edible preparations",421,"Coffee and Tea Extracts",42101,"Foodstuffs",4,336841,1995
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,1335148,1995
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,287835,1995
"Miscellaneous edible preparations",421,"Soups and Broths",42104,"Foodstuffs",4,23777.999999999996,1995
"Miscellaneous edible preparations",421,"Ice Cream",42105,"Foodstuffs",4,910,1995
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,5686882,1995
"Beverages, spirits, & vinegar",422,"Water",42201,"Foodstuffs",4,45073,1995
"Beverages, spirits, & vinegar",422,"Flavored Water",42202,"Foodstuffs",4,738297,1995
"Beverages, spirits, & vinegar",422,"Beer",42203,"Foodstuffs",4,1436483,1995
"Beverages, spirits, & vinegar",422,"Wine",42204,"Foodstuffs",4,537027,1995
"Beverages, spirits, & vinegar",422,"Vermouth",42205,"Foodstuffs",4,28085,1995
"Beverages, spirits, & vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,12692,1995
"Beverages, spirits, & vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,38325,1995
"Beverages, spirits, & vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,2291491,1995
"Beverages, spirits, & vinegar",422,"Vinegar",42209,"Foodstuffs",4,5491,1995
"Food residues & wastes; animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,1243054,1995
"Food residues & wastes; animal fodder",423,"Bran",42302,"Foodstuffs",4,14885,1995
"Food residues & wastes; animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,16521,1995
"Food residues & wastes; animal fodder",423,"Soybean Meal",42304,"Foodstuffs",4,1336456.9999999998,1995
"Food residues & wastes; animal fodder",423,"Ground Nut Meal",42305,"Foodstuffs",4,13024,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,30444,1995
"Food residues & wastes; animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,7967,1995
"Food residues & wastes; animal fodder",423,"Animal Food",42309,"Foodstuffs",4,3329649,1995
"Tobacco & substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,18464306,1995
"Tobacco & substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,1229765,1995
"Tobacco & substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,128579,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Salt",52501,"Mineral Products",5,925599,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sulphur",52503,"Mineral Products",5,2422718,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Graphite",52504,"Mineral Products",5,264247,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Sand",52505,"Mineral Products",5,5801,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Quartz",52506,"Mineral Products",5,319546,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Kaolin",52507,"Mineral Products",5,1101695,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Clays",52508,"Mineral Products",5,1853880,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Chalk",52509,"Mineral Products",5,291830,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Calcium Phosphates",52510,"Mineral Products",5,7551700,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Barium Sulphate",52511,"Mineral Products",5,135960,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Siliceous Fossil Meals",52512,"Mineral Products",5,13516,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Pumice",52513,"Mineral Products",5,764925,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Slate",52514,"Mineral Products",5,175726,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Marble, Travertine and Alabaster",52515,"Mineral Products",5,706551,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Granite",52516,"Mineral Products",5,8055847,1995
"Salt, sulphur, cement, lime, stone, & plaster",525,"Gravel and Crushed Stone",52517,"Mineral Products",5,5435552,1995
