"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Tanzania","aftza","tza",9884,1995
"Africa","af","Uganda","afuga","uga",899,1995
"Africa","af","South Africa","afzaf","zaf",62316,1995
"Asia","as","United Arab Emirates","asare","are",4975,1995
"Asia","as","China","aschn","chn",84057,1995
"Asia","as","Cyprus","ascyp","cyp",1463,1995
"Asia","as","Hong Kong","ashkg","hkg",52224,1995
"Asia","as","India","asind","ind",2676,1995
"Asia","as","Japan","asjpn","jpn",11372972,1995
"Asia","as","South Korea","askor","kor",285738,1995
"Asia","as","Kuwait","askwt","kwt",23741.999999999996,1995
"Asia","as","Sri Lanka","aslka","lka",346412,1995
"Asia","as","Malaysia","asmys","mys",40837,1995
"Asia","as","Oman","asomn","omn",65402,1995
"Asia","as","Qatar","asqat","qat",21228,1995
"Asia","as","Saudi Arabia","assau","sau",184045,1995
"Asia","as","Singapore","assgp","sgp",223951,1995
"Asia","as","Chinese Taipei","astwn","twn",9566,1995
"Europe","eu","Andorra","euand","and",841,1995
"Europe","eu","Austria","euaut","aut",278314,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",584157,1995
"Europe","eu","Switzerland","euche","che",43006,1995
"Europe","eu","Czechia","eucze","cze",2012,1995
"Europe","eu","Germany","eudeu","deu",2519538,1995
"Europe","eu","Denmark","eudnk","dnk",69508,1995
"Europe","eu","Spain","euesp","esp",1997779,1995
"Europe","eu","Finland","eufin","fin",80988,1995
"Europe","eu","France","eufra","fra",7831707,1995
"Europe","eu","United Kingdom","eugbr","gbr",8047706,1995
"Europe","eu","Greece","eugrc","grc",447015,1995
"Europe","eu","Hungary","euhun","hun",2000,1995
"Europe","eu","Ireland","euirl","irl",65634,1995
"Europe","eu","Iceland","euisl","isl",597,1995
"Europe","eu","Italy","euita","ita",2708719,1995
"Europe","eu","Malta","eumlt","mlt",35253,1995
"Europe","eu","Netherlands","eunld","nld",4258971,1995
"Europe","eu","Norway","eunor","nor",7005,1995
"Europe","eu","Poland","eupol","pol",16450,1995
"Europe","eu","Portugal","euprt","prt",213606,1995
"Europe","eu","Russia","eurus","rus",3215940,1995
"Europe","eu","Slovakia","eusvk","svk",1031,1995
"Europe","eu","Sweden","euswe","swe",66302,1995
"North America","na","Canada","nacan","can",1398733,1995
"North America","na","Mexico","namex","mex",201888,1995
"North America","na","Trinidad and Tobago","natto","tto",679,1995
"North America","na","United States","nausa","usa",77650330,1995
"Oceania","oc","Australia","ocaus","aus",178575,1995
"Oceania","oc","Fiji","ocfji","fji",153349,1995
"Oceania","oc","New Zealand","ocnzl","nzl",86367,1995
"South America","sa","Argentina","saarg","arg",47586,1995
"South America","sa","Brazil","sabra","bra",70883,1995
"South America","sa","Chile","sachl","chl",51375,1995
"Africa","af","Egypt","afegy","egy",20078,1996
"Africa","af","Tanzania","aftza","tza",17650,1996
"Africa","af","South Africa","afzaf","zaf",9552,1996
"Asia","as","China","aschn","chn",3092,1996
"Asia","as","Cyprus","ascyp","cyp",15163,1996
"Asia","as","Hong Kong","ashkg","hkg",42925,1996
"Asia","as","Japan","asjpn","jpn",8604326,1996
"Asia","as","South Korea","askor","kor",977731,1996
"Asia","as","Sri Lanka","aslka","lka",273691,1996
"Asia","as","Malaysia","asmys","mys",3198,1996
"Asia","as","Oman","asomn","omn",13908,1996
"Asia","as","Pakistan","aspak","pak",9952,1996
"Asia","as","Saudi Arabia","assau","sau",326267,1996
"Asia","as","Singapore","assgp","sgp",219114,1996
"Asia","as","Chinese Taipei","astwn","twn",47179.00000000001,1996
