"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Kenya","afken","ken",1247,1995
"Asia","as","United Arab Emirates","asare","are",667.9999999999999,1995
"Asia","as","China","aschn","chn",3892970,1995
"Asia","as","Hong Kong","ashkg","hkg",3363313,1995
"Asia","as","Indonesia","asidn","idn",23040,1995
"Asia","as","India","asind","ind",136686,1995
"Asia","as","Japan","asjpn","jpn",107117,1995
"Asia","as","South Korea","askor","kor",4754264,1995
"Asia","as","Malaysia","asmys","mys",22610,1995
"Asia","as","Pakistan","aspak","pak",1340,1995
"Asia","as","Singapore","assgp","sgp",131214,1995
"Asia","as","Thailand","astha","tha",12134854.999999998,1995
"Asia","as","Chinese Taipei","astwn","twn",199659,1995
"Europe","eu","Germany","eudeu","deu",64000,1995
"Europe","eu","Spain","euesp","esp",145969,1995
"Europe","eu","United Kingdom","eugbr","gbr",12696,1995
"Europe","eu","Italy","euita","ita",1023243,1995
"Europe","eu","Norway","eunor","nor",3907,1995
"Europe","eu","Portugal","euprt","prt",7696.000000000001,1995
"North America","na","United States","nausa","usa",16578,1995
"Africa","af","Togo","aftgo","tgo",1466,1996
"Asia","as","United Arab Emirates","asare","are",43450,1996
"Asia","as","China","aschn","chn",9918848,1996
"Asia","as","Hong Kong","ashkg","hkg",1828742,1996
"Asia","as","Indonesia","asidn","idn",32199,1996
"Asia","as","India","asind","ind",281995,1996
"Asia","as","Japan","asjpn","jpn",124573,1996
"Asia","as","South Korea","askor","kor",4550006,1996
"Asia","as","Malaysia","asmys","mys",74328,1996
"Asia","as","Pakistan","aspak","pak",52514,1996
"Asia","as","North Korea","asprk","prk",20685,1996
"Asia","as","Saudi Arabia","assau","sau",611,1996
"Asia","as","Singapore","assgp","sgp",87663,1996
"Asia","as","Thailand","astha","tha",8938344,1996
"Asia","as","Chinese Taipei","astwn","twn",1638452,1996
"Europe","eu","Germany","eudeu","deu",64032,1996
"Europe","eu","Spain","euesp","esp",51469,1996
"Europe","eu","France","eufra","fra",3506.9999999999995,1996
"Europe","eu","United Kingdom","eugbr","gbr",100380,1996
"Europe","eu","Italy","euita","ita",1075398,1996
"Europe","eu","Sweden","euswe","swe",4657,1996
"North America","na","Canada","nacan","can",33106.00000000001,1996
"North America","na","United States","nausa","usa",271858.00000000006,1996
"South America","sa","Chile","sachl","chl",190775,1996
"Africa","af","South Africa","afzaf","zaf",58853,1997
"Asia","as","China","aschn","chn",8395665,1997
"Asia","as","Hong Kong","ashkg","hkg",1726869,1997
"Asia","as","Indonesia","asidn","idn",68894,1997
"Asia","as","India","asind","ind",441166,1997
"Asia","as","Israel","asisr","isr",814,1997
"Asia","as","Japan","asjpn","jpn",223077,1997
"Asia","as","South Korea","askor","kor",4376917,1997
"Asia","as","Kuwait","askwt","kwt",78814,1997
"Asia","as","Burma","asmmr","mmr",23422,1997
"Asia","as","Malaysia","asmys","mys",92403,1997
"Asia","as","Pakistan","aspak","pak",23310,1997
"Asia","as","Philippines","asphl","phl",37598,1997
