"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Egypt","afegy","egy",12800.999999999998,1995
"Africa","af","South Africa","afzaf","zaf",1295,1995
"Asia","as","China","aschn","chn",133737,1995
"Asia","as","Hong Kong","ashkg","hkg",556795,1995
"Asia","as","Indonesia","asidn","idn",7557.000000000001,1995
"Asia","as","India","asind","ind",2927,1995
"Asia","as","Japan","asjpn","jpn",6944637,1995
"Asia","as","South Korea","askor","kor",22454,1995
"Asia","as","Oman","asomn","omn",19024,1995
"Asia","as","Saudi Arabia","assau","sau",4298,1995
"Asia","as","Singapore","assgp","sgp",2078.0000000000005,1995
"Asia","as","Thailand","astha","tha",9949,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",10902,1995
"Europe","eu","Switzerland","euche","che",14952.000000000002,1995
"Europe","eu","Germany","eudeu","deu",36000,1995
"Europe","eu","Denmark","eudnk","dnk",1254,1995
"Europe","eu","Finland","eufin","fin",638,1995
"Europe","eu","France","eufra","fra",3006,1995
"Europe","eu","United Kingdom","eugbr","gbr",1004606.0000000001,1995
"Europe","eu","Greece","eugrc","grc",29051,1995
"Europe","eu","Italy","euita","ita",139351,1995
"Europe","eu","Netherlands","eunld","nld",192380,1995
"Europe","eu","Norway","eunor","nor",20080,1995
"Europe","eu","Slovenia","eusvn","svn",1556,1995
"Europe","eu","Sweden","euswe","swe",35717,1995
"North America","na","Canada","nacan","can",1996,1995
"North America","na","Mexico","namex","mex",6974,1995
"North America","na","United States","nausa","usa",93781,1995
"Oceania","oc","Australia","ocaus","aus",2282,1995
"Africa","af","Kenya","afken","ken",2383,1996
"Asia","as","China","aschn","chn",132742,1996
"Asia","as","Hong Kong","ashkg","hkg",286111,1996
"Asia","as","Japan","asjpn","jpn",9252408,1996
"Asia","as","South Korea","askor","kor",129298,1996
"Asia","as","Malaysia","asmys","mys",772650,1996
"Asia","as","Saudi Arabia","assau","sau",14993,1996
"Asia","as","Singapore","assgp","sgp",1333348,1996
"Asia","as","Chinese Taipei","astwn","twn",930,1996
"Europe","eu","Austria","euaut","aut",566.0000000000001,1996
"Europe","eu","Germany","eudeu","deu",25203.999999999996,1996
"Europe","eu","Spain","euesp","esp",9425,1996
"Europe","eu","France","eufra","fra",3126,1996
"Europe","eu","United Kingdom","eugbr","gbr",602750,1996
"Europe","eu","Italy","euita","ita",4539,1996
"Europe","eu","Netherlands","eunld","nld",1965,1996
"Europe","eu","Russia","eurus","rus",29374,1996
"Europe","eu","Sweden","euswe","swe",3728.9999999999995,1996
"North America","na","Mexico","namex","mex",6540,1996
"North America","na","United States","nausa","usa",46078,1996
"Africa","af","Nigeria","afnga","nga",25910,1997
"Africa","af","South Africa","afzaf","zaf",9277.000000000002,1997
"Asia","as","China","aschn","chn",693746,1997
"Asia","as","Hong Kong","ashkg","hkg",282037,1997
"Asia","as","Indonesia","asidn","idn",10604.000000000002,1997
"Asia","as","India","asind","ind",983,1997
"Asia","as","Japan","asjpn","jpn",13731104,1997
"Asia","as","South Korea","askor","kor",19506,1997
"Asia","as","Malaysia","asmys","mys",1736557,1997
"Asia","as","Oman","asomn","omn",8093,1997
"Asia","as","Singapore","assgp","sgp",1045790,1997
"Asia","as","Thailand","astha","tha",2204,1997
"Asia","as","Turkey","astur","tur",2037.9999999999998,1997
"Asia","as","Chinese Taipei","astwn","twn",14052.999999999998,1997
"Asia","as","Yemen","asyem","yem",26186,1997
"Europe","eu","Austria","euaut","aut",2706,1997
"Europe","eu","Belgium-Luxembourg","eublx","blx",1679,1997
"Europe","eu","Germany","eudeu","deu",12110,1997
"Europe","eu","France","eufra","fra",13208,1997
"Europe","eu","United Kingdom","eugbr","gbr",308123,1997
"Europe","eu","Ireland","euirl","irl",7600,1997
"Europe","eu","Italy","euita","ita",49251,1997
"Europe","eu","Netherlands","eunld","nld",2051,1997
"Europe","eu","Russia","eurus","rus",71754,1997
"North America","na","Canada","nacan","can",2270,1997
"North America","na","Mexico","namex","mex",601,1997
"North America","na","United States","nausa","usa",322813,1997
"South America","sa","Colombia","sacol","col",23830,1997
"Asia","as","China","aschn","chn",1651086,1998
"Asia","as","Hong Kong","ashkg","hkg",676444,1998
"Asia","as","India","asind","ind",16100,1998
"Asia","as","Japan","asjpn","jpn",12516703,1998
"Asia","as","South Korea","askor","kor",5460.999999999999,1998
"Asia","as","Malaysia","asmys","mys",1321976,1998
"Asia","as","Nepal","asnpl","npl",23074,1998
"Asia","as","Oman","asomn","omn",8168,1998
"Asia","as","Philippines","asphl","phl",24061.999999999996,1998
"Asia","as","Saudi Arabia","assau","sau",10003,1998
"Asia","as","Singapore","assgp","sgp",1095731,1998
"Asia","as","Turkey","astur","tur",2149,1998
"Asia","as","Yemen","asyem","yem",9967,1998
"Europe","eu","Austria","euaut","aut",5181,1998
"Europe","eu","Germany","eudeu","deu",294995,1998
"Europe","eu","Denmark","eudnk","dnk",2335,1998
"Europe","eu","Finland","eufin","fin",5657,1998
"Europe","eu","France","eufra","fra",19528,1998
"Europe","eu","United Kingdom","eugbr","gbr",1026004,1998
"Europe","eu","Ireland","euirl","irl",9700.000000000002,1998
"Europe","eu","Italy","euita","ita",245198,1998
"Europe","eu","Lithuania","eultu","ltu",5235,1998
"Europe","eu","Netherlands","eunld","nld",16151,1998
"Europe","eu","Norway","eunor","nor",1087,1998
"Europe","eu","Portugal","euprt","prt",22120,1998
"Europe","eu","Romania","eurou","rou",25000,1998
"Europe","eu","Russia","eurus","rus",2219,1998
"Europe","eu","Sweden","euswe","swe",110653,1998
"North America","na","Canada","nacan","can",1530.0000000000002,1998
"North America","na","Mexico","namex","mex",16982,1998
"North America","na","United States","nausa","usa",280180,1998
"Oceania","oc","Australia","ocaus","aus",1872,1998
"Oceania","oc","Vanuatu","ocvut","vut",7850,1998
"South America","sa","Chile","sachl","chl",1168,1998
"South America","sa","Colombia","sacol","col",82885,1998
"Asia","as","China","aschn","chn",458003,1999
"Asia","as","Hong Kong","ashkg","hkg",20503,1999
"Asia","as","India","asind","ind",125104,1999
"Asia","as","Japan","asjpn","jpn",5256595,1999
"Asia","as","Sri Lanka","aslka","lka",1788,1999
"Asia","as","Malaysia","asmys","mys",2382274,1999
"Asia","as","Philippines","asphl","phl",4906.000000000001,1999
"Asia","as","Singapore","assgp","sgp",2914365,1999
"Asia","as","Turkey","astur","tur",11423,1999
"Asia","as","Chinese Taipei","astwn","twn",253718.00000000003,1999
"Europe","eu","Belgium","eubel","bel",1466.9999999999998,1999
"Europe","eu","Germany","eudeu","deu",10341,1999
"Europe","eu","France","eufra","fra",2271,1999
"Europe","eu","United Kingdom","eugbr","gbr",354417,1999
"Europe","eu","Ireland","euirl","irl",17837,1999
"Europe","eu","Italy","euita","ita",54752.99999999999,1999
"Europe","eu","Netherlands","eunld","nld",48793,1999
"Europe","eu","Romania","eurou","rou",5000,1999
"Europe","eu","Sweden","euswe","swe",2660,1999
"North America","na","Canada","nacan","can",1408,1999
"North America","na","United States","nausa","usa",18407,1999
"Oceania","oc","Australia","ocaus","aus",615,1999
"Oceania","oc","New Zealand","ocnzl","nzl",1599,1999
"Africa","af","South Africa","afzaf","zaf",330,2000
"Asia","as","China","aschn","chn",3225329,2000
"Asia","as","Hong Kong","ashkg","hkg",810860,2000
"Asia","as","Indonesia","asidn","idn",43431.00000000001,2000
"Asia","as","India","asind","ind",96085,2000
"Asia","as","Japan","asjpn","jpn",7841257,2000
"Asia","as","South Korea","askor","kor",18696,2000
"Asia","as","Sri Lanka","aslka","lka",1638,2000
"Asia","as","Burma","asmmr","mmr",19904,2000
"Asia","as","Malaysia","asmys","mys",6704267,2000
"Asia","as","Saudi Arabia","assau","sau",7665,2000
"Asia","as","Singapore","assgp","sgp",9792407,2000
"Asia","as","Thailand","astha","tha",8751,2000
"Asia","as","Chinese Taipei","astwn","twn",405658,2000
"Europe","eu","Czechia","eucze","cze",2932,2000
"Europe","eu","Germany","eudeu","deu",36050,2000
"Europe","eu","Finland","eufin","fin",13014.999999999998,2000
"Europe","eu","France","eufra","fra",17169,2000
"Europe","eu","United Kingdom","eugbr","gbr",16374,2000
"Europe","eu","Croatia","euhrv","hrv",304,2000
"Europe","eu","Ireland","euirl","irl",31489,2000
"Europe","eu","Italy","euita","ita",27307,2000
"Europe","eu","Netherlands","eunld","nld",199920.99999999997,2000
"Europe","eu","Norway","eunor","nor",19695,2000
"Europe","eu","Russia","eurus","rus",2891,2000
"North America","na","Canada","nacan","can",9598,2000
"North America","na","Costa Rica","nacri","cri",42,2000
"North America","na","Mexico","namex","mex",6799,2000
"North America","na","United States","nausa","usa",625254,2000
"Oceania","oc","Australia","ocaus","aus",3989,2000
"South America","sa","Chile","sachl","chl",3635,2000
"South America","sa","Colombia","sacol","col",17489,2000
"Africa","af","Algeria","afdza","dza",39269,2001
"Africa","af","Ghana","afgha","gha",28793,2001
"Africa","af","Sudan","afsdn","sdn",50419,2001
"Africa","af","Tunisia","aftun","tun",1075.9999999999998,2001
"Africa","af","Tanzania","aftza","tza",5970,2001
"Asia","as","United Arab Emirates","asare","are",12524,2001
"Asia","as","China","aschn","chn",569139,2001
"Asia","as","Hong Kong","ashkg","hkg",1403826,2001
"Asia","as","Indonesia","asidn","idn",12976.000000000002,2001
"Asia","as","India","asind","ind",3843,2001
"Asia","as","Japan","asjpn","jpn",9151203,2001
"Asia","as","South Korea","askor","kor",9104,2001
"Asia","as","Kuwait","askwt","kwt",4670,2001
"Asia","as","Burma","asmmr","mmr",48362,2001
"Asia","as","Malaysia","asmys","mys",7896964,2001
"Asia","as","Pakistan","aspak","pak",879,2001
"Asia","as","North Korea","asprk","prk",2685,2001
"Asia","as","Saudi Arabia","assau","sau",68883,2001
"Asia","as","Singapore","assgp","sgp",4935473,2001
"Asia","as","Thailand","astha","tha",702275,2001
"Asia","as","Chinese Taipei","astwn","twn",179575,2001
"Europe","eu","Albania","eualb","alb",7143,2001
"Europe","eu","Austria","euaut","aut",136.99999999999997,2001
"Europe","eu","Belgium","eubel","bel",38207,2001
"Europe","eu","Switzerland","euche","che",494,2001
"Europe","eu","Germany","eudeu","deu",49560,2001
"Europe","eu","Denmark","eudnk","dnk",248,2001
"Europe","eu","Finland","eufin","fin",3182,2001
"Europe","eu","France","eufra","fra",104628,2001
"Europe","eu","United Kingdom","eugbr","gbr",6219,2001
"Europe","eu","Greece","eugrc","grc",4423,2001
"Europe","eu","Croatia","euhrv","hrv",1513.0000000000002,2001
"Europe","eu","Ireland","euirl","irl",15126,2001
"Europe","eu","Italy","euita","ita",9537,2001
"Europe","eu","Netherlands","eunld","nld",19472,2001
"Europe","eu","Russia","eurus","rus",420,2001
"Europe","eu","Slovenia","eusvn","svn",459,2001
"Europe","eu","Sweden","euswe","swe",38043,2001
"North America","na","Canada","nacan","can",40834,2001
"North America","na","Mexico","namex","mex",8967,2001
"North America","na","United States","nausa","usa",558792,2001
"Oceania","oc","Australia","ocaus","aus",11728,2001
"South America","sa","Colombia","sacol","col",18559,2001
"Africa","af","Cote d'Ivoire","afciv","civ",4011.9999999999995,2002
"Africa","af","Egypt","afegy","egy",21281,2002
"Africa","af","Ghana","afgha","gha",20595,2002
"Africa","af","Kenya","afken","ken",7517,2002
"Africa","af","Sudan","afsdn","sdn",2526.9999999999995,2002
"Asia","as","United Arab Emirates","asare","are",13957,2002
"Asia","as","China","aschn","chn",1061459,2002
"Asia","as","Hong Kong","ashkg","hkg",1185043,2002
"Asia","as","India","asind","ind",5072,2002
"Asia","as","Japan","asjpn","jpn",8881944,2002
"Asia","as","Cambodia","askhm","khm",1876.9999999999998,2002
"Asia","as","South Korea","askor","kor",97976,2002
"Asia","as","Kuwait","askwt","kwt",619,2002
"Asia","as","Sri Lanka","aslka","lka",18779.000000000004,2002
"Asia","as","Malaysia","asmys","mys",2656441,2002
"Asia","as","Oman","asomn","omn",780,2002
"Asia","as","Pakistan","aspak","pak",26159,2002
"Asia","as","Qatar","asqat","qat",5021,2002
"Asia","as","Saudi Arabia","assau","sau",23436,2002
"Asia","as","Singapore","assgp","sgp",2453519,2002
"Asia","as","Thailand","astha","tha",898042,2002
"Asia","as","Chinese Taipei","astwn","twn",7251,2002
"Europe","eu","Austria","euaut","aut",8023,2002
"Europe","eu","Belgium","eubel","bel",7620,2002
"Europe","eu","Bulgaria","eubgr","bgr",118.00000000000001,2002
"Europe","eu","Switzerland","euche","che",98966,2002
"Europe","eu","Czechia","eucze","cze",8507,2002
"Europe","eu","Germany","eudeu","deu",84000,2002
"Europe","eu","Denmark","eudnk","dnk",22826,2002
"Europe","eu","Spain","euesp","esp",171816,2002
"Europe","eu","Estonia","euest","est",21,2002
"Europe","eu","Finland","eufin","fin",381,2002
"Europe","eu","France","eufra","fra",23191,2002
"Europe","eu","United Kingdom","eugbr","gbr",49574,2002
"Europe","eu","Greece","eugrc","grc",7071,2002
"Europe","eu","Italy","euita","ita",21178,2002
"Europe","eu","Moldova","eumda","mda",1,2002
"Europe","eu","Netherlands","eunld","nld",73197,2002
"Europe","eu","Norway","eunor","nor",414,2002
"Europe","eu","Portugal","euprt","prt",295,2002
"Europe","eu","Romania","eurou","rou",42257,2002
"Europe","eu","Russia","eurus","rus",22457,2002
"Europe","eu","Slovakia","eusvk","svk",425,2002
"Europe","eu","Slovenia","eusvn","svn",138,2002
"Europe","eu","Sweden","euswe","swe",8964,2002
"North America","na","Barbados","nabrb","brb",470,2002
"North America","na","Canada","nacan","can",14397.000000000002,2002
"North America","na","Mexico","namex","mex",5507,2002
"North America","na","United States","nausa","usa",784168,2002
"Oceania","oc","Australia","ocaus","aus",26331,2002
"Oceania","oc","New Zealand","ocnzl","nzl",410,2002
"Africa","af","Cameroon","afcmr","cmr",1368,2003
"Africa","af","Ghana","afgha","gha",14476.999999999998,2003
"Africa","af","Sudan","afsdn","sdn",18935,2003
"Africa","af","South Africa","afzaf","zaf",1,2003
"Asia","as","Bangladesh","asbgd","bgd",4544.999999999999,2003
"Asia","as","China","aschn","chn",3423183.9999999995,2003
"Asia","as","Hong Kong","ashkg","hkg",3061558,2003
"Asia","as","India","asind","ind",100264,2003
"Asia","as","Jordan","asjor","jor",24410,2003
"Asia","as","Japan","asjpn","jpn",16034927,2003
"Asia","as","South Korea","askor","kor",102922,2003
"Asia","as","Kuwait","askwt","kwt",11629,2003
"Asia","as","Sri Lanka","aslka","lka",52.00000000000001,2003
"Asia","as","Burma","asmmr","mmr",7695,2003
"Asia","as","Mongolia","asmng","mng",48,2003
"Asia","as","Malaysia","asmys","mys",621743,2003
"Asia","as","Nepal","asnpl","npl",5438,2003
"Asia","as","Pakistan","aspak","pak",10212,2003
"Asia","as","Philippines","asphl","phl",2092,2003
"Asia","as","North Korea","asprk","prk",1002,2003
"Asia","as","Saudi Arabia","assau","sau",11275,2003
"Asia","as","Singapore","assgp","sgp",424500,2003
"Asia","as","Thailand","astha","tha",98473,2003
"Asia","as","Chinese Taipei","astwn","twn",99333,2003
"Europe","eu","Andorra","euand","and",24,2003
"Europe","eu","Austria","euaut","aut",1176,2003
"Europe","eu","Belgium","eubel","bel",13578,2003
"Europe","eu","Switzerland","euche","che",41214,2003
"Europe","eu","Czechia","eucze","cze",10754,2003
"Europe","eu","Germany","eudeu","deu",69060,2003
"Europe","eu","Denmark","eudnk","dnk",8248,2003
"Europe","eu","Spain","euesp","esp",25462,2003
"Europe","eu","Estonia","euest","est",65,2003
"Europe","eu","Finland","eufin","fin",22000,2003
"Europe","eu","France","eufra","fra",251683.99999999997,2003
"Europe","eu","United Kingdom","eugbr","gbr",261074.00000000003,2003
"Europe","eu","Greece","eugrc","grc",10591,2003
"Europe","eu","Croatia","euhrv","hrv",461.99999999999994,2003
"Europe","eu","Hungary","euhun","hun",1000,2003
"Europe","eu","Ireland","euirl","irl",2772,2003
"Europe","eu","Italy","euita","ita",65357,2003
"Europe","eu","Lithuania","eultu","ltu",8183.999999999999,2003
"Europe","eu","Moldova","eumda","mda",40,2003
"Europe","eu","Netherlands","eunld","nld",38175,2003
"Europe","eu","Norway","eunor","nor",616,2003
"Europe","eu","Romania","eurou","rou",4747,2003
"Europe","eu","Slovakia","eusvk","svk",90,2003
"Europe","eu","Slovenia","eusvn","svn",12,2003
"Europe","eu","Sweden","euswe","swe",32102,2003
"Europe","eu","Ukraine","euukr","ukr",10,2003
"North America","na","Canada","nacan","can",27629,2003
"North America","na","Saint Lucia","nalca","lca",478,2003
"North America","na","Mexico","namex","mex",27153,2003
"North America","na","United States","nausa","usa",356567,2003
"Oceania","oc","Australia","ocaus","aus",3264.9999999999995,2003
"Oceania","oc","New Zealand","ocnzl","nzl",817.0000000000001,2003
"Africa","af","Cote d'Ivoire","afciv","civ",1235.0000000000002,2004
"Africa","af","Ethiopia","afeth","eth",11757,2004
"Africa","af","Ghana","afgha","gha",32654.000000000004,2004
"Africa","af","Liberia","aflbr","lbr",122912,2004
"Africa","af","Malawi","afmwi","mwi",1112,2004
"Africa","af","Sudan","afsdn","sdn",19877,2004
"Africa","af","South Africa","afzaf","zaf",6978,2004
"Asia","as","Bangladesh","asbgd","bgd",698157.9999999999,2004
"Asia","as","Bahrain","asbhr","bhr",1242,2004
"Asia","as","China","aschn","chn",4394356,2004
"Asia","as","Hong Kong","ashkg","hkg",2562756,2004
"Asia","as","Indonesia","asidn","idn",743,2004
"Asia","as","India","asind","ind",63798,2004
"Asia","as","Japan","asjpn","jpn",12068137,2004
"Asia","as","South Korea","askor","kor",111101,2004
"Asia","as","Kuwait","askwt","kwt",11463,2004
"Asia","as","Sri Lanka","aslka","lka",25,2004
"Asia","as","Malaysia","asmys","mys",50373.99999999999,2004
"Asia","as","Nepal","asnpl","npl",539,2004
"Asia","as","Oman","asomn","omn",1325.9999999999998,2004
"Asia","as","Pakistan","aspak","pak",40195,2004
