"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Uganda","afuga","uga",186257,1995
"Asia","as","India","asind","ind",44579,1995
"Asia","as","Japan","asjpn","jpn",1495591.0000000002,1995
"Asia","as","Malaysia","asmys","mys",2333292,1995
"Asia","as","Oman","asomn","omn",16785.999999999996,1995
"Asia","as","Pakistan","aspak","pak",3655,1995
"Asia","as","Singapore","assgp","sgp",6126845,1995
"Europe","eu","United Kingdom","eugbr","gbr",851,1995
"Europe","eu","Norway","eunor","nor",1848,1995
"North America","na","Canada","nacan","can",2635,1995
"North America","na","Panama","napan","pan",4576.000000000001,1995
"Africa","af","Egypt","afegy","egy",505,1996
"Asia","as","China","aschn","chn",51279,1996
"Asia","as","Cyprus","ascyp","cyp",5107,1996
"Asia","as","Hong Kong","ashkg","hkg",5432,1996
"Asia","as","Indonesia","asidn","idn",181694,1996
"Asia","as","India","asind","ind",13752,1996
"Asia","as","Sri Lanka","aslka","lka",13835.999999999998,1996
"Asia","as","Oman","asomn","omn",30256,1996
"Asia","as","Pakistan","aspak","pak",11630.999999999998,1996
"Asia","as","Saudi Arabia","assau","sau",9401,1996
"Asia","as","Singapore","assgp","sgp",7411379,1996
"Asia","as","Vietnam","asvnm","vnm",17891,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",30228,1996
"Europe","eu","United Kingdom","eugbr","gbr",4167,1996
"Europe","eu","Greece","eugrc","grc",38746,1996
"Europe","eu","Ireland","euirl","irl",1776,1996
"Europe","eu","Slovenia","eusvn","svn",4396,1996
"North America","na","Canada","nacan","can",10004,1996
"North America","na","Honduras","nahnd","hnd",1468.0000000000002,1996
"North America","na","Panama","napan","pan",5707.999999999999,1996
"North America","na","United States","nausa","usa",780,1996
"Africa","af","Egypt","afegy","egy",80796,1997
"Africa","af","South Africa","afzaf","zaf",20305,1997
"Asia","as","China","aschn","chn",68197,1997
"Asia","as","Cyprus","ascyp","cyp",52936.00000000001,1997
