"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Cote d'Ivoire","afciv","civ",73773,1995
"Africa","af","Algeria","afdza","dza",2649725.9999999995,1995
"Africa","af","South Africa","afzaf","zaf",6197,1995
"Asia","as","Bhutan","asbtn","btn",297151,1995
"Asia","as","China","aschn","chn",86514068,1995
"Asia","as","Hong Kong","ashkg","hkg",399884,1995
"Asia","as","Indonesia","asidn","idn",4577128,1995
"Asia","as","India","asind","ind",65235020,1995
"Asia","as","Iran","asirn","irn",1315078,1995
"Asia","as","Jordan","asjor","jor",2683290,1995
"Asia","as","Japan","asjpn","jpn",4745822,1995
"Asia","as","South Korea","askor","kor",1410731,1995
"Asia","as","Sri Lanka","aslka","lka",5558,1995
"Asia","as","Malaysia","asmys","mys",1037507,1995
"Asia","as","Nepal","asnpl","npl",61966,1995
"Asia","as","Pakistan","aspak","pak",2747812,1995
"Asia","as","Saudi Arabia","assau","sau",22674024,1995
"Asia","as","Singapore","assgp","sgp",219578593,1995
"Asia","as","Thailand","astha","tha",1483212,1995
"Asia","as","Turkey","astur","tur",23466,1995
"Asia","as","Chinese Taipei","astwn","twn",2555832,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",166849,1995
"Europe","eu","Switzerland","euche","che",1102,1995
"Europe","eu","Germany","eudeu","deu",880677,1995
"Europe","eu","Denmark","eudnk","dnk",63010,1995
"Europe","eu","Spain","euesp","esp",471700,1995
"Europe","eu","France","eufra","fra",49938,1995
"Europe","eu","United Kingdom","eugbr","gbr",1936356,1995
"Europe","eu","Italy","euita","ita",306646,1995
"Europe","eu","Netherlands","eunld","nld",247193,1995
"Europe","eu","Norway","eunor","nor",20014,1995
"Europe","eu","Russia","eurus","rus",74906,1995
"Europe","eu","Sweden","euswe","swe",6388,1995
"North America","na","Canada","nacan","can",233426,1995
"North America","na","United States","nausa","usa",2129209,1995
"Oceania","oc","Australia","ocaus","aus",202303,1995
"Oceania","oc","New Zealand","ocnzl","nzl",248728,1995
"South America","sa","Brazil","sabra","bra",191399,1995
"Africa","af","Cote d'Ivoire","afciv","civ",87712,1996
"Africa","af","Algeria","afdza","dza",4824608.000000001,1996
"Africa","af","South Africa","afzaf","zaf",516830.00000000006,1996
"Asia","as","United Arab Emirates","asare","are",654782,1996
"Asia","as","Bhutan","asbtn","btn",229869,1996
"Asia","as","China","aschn","chn",97169564,1996
"Asia","as","Christmas Island","ascxr","cxr",164686,1996
"Asia","as","Hong Kong","ashkg","hkg",239921.99999999997,1996
"Asia","as","Indonesia","asidn","idn",3231870,1996
"Asia","as","India","asind","ind",70753951,1996
"Asia","as","Jordan","asjor","jor",6377.999999999999,1996
"Asia","as","Japan","asjpn","jpn",1838556,1996
"Asia","as","South Korea","askor","kor",1914201,1996
"Asia","as","Sri Lanka","aslka","lka",13811,1996
"Asia","as","Macau","asmac","mac",1313.0000000000002,1996
"Asia","as","Malaysia","asmys","mys",3739856.0000000005,1996
"Asia","as","Oman","asomn","omn",8607.000000000002,1996
"Asia","as","Pakistan","aspak","pak",4412634,1996
"Asia","as","North Korea","asprk","prk",138869,1996
"Asia","as","Saudi Arabia","assau","sau",62391674.99999999,1996
"Asia","as","Singapore","assgp","sgp",252183523,1996
"Asia","as","Syria","assyr","syr",3313,1996
"Asia","as","Thailand","astha","tha",1495384,1996
"Asia","as","Turkey","astur","tur",35606,1996
"Asia","as","Chinese Taipei","astwn","twn",4043144,1996
"Europe","eu","Austria","euaut","aut",175708,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",369552.00000000006,1996
"Europe","eu","Switzerland","euche","che",8722.999999999998,1996
"Europe","eu","Germany","eudeu","deu",419620,1996
"Europe","eu","Denmark","eudnk","dnk",33915,1996
"Europe","eu","Spain","euesp","esp",2907273,1996
"Europe","eu","France","eufra","fra",1303257,1996
"Europe","eu","United Kingdom","eugbr","gbr",1426647,1996
"Europe","eu","Greece","eugrc","grc",63423,1996
"Europe","eu","Hungary","euhun","hun",27575,1996
"Europe","eu","Italy","euita","ita",277967,1996
"Europe","eu","Netherlands","eunld","nld",11953714,1996
"Europe","eu","Norway","eunor","nor",70148,1996
"Europe","eu","Poland","eupol","pol",2731.9999999999995,1996
"Europe","eu","Portugal","euprt","prt",1966132.9999999998,1996
"Europe","eu","Russia","eurus","rus",47478,1996
"Europe","eu","Slovakia","eusvk","svk",14154.000000000002,1996
"Europe","eu","Sweden","euswe","swe",8867153,1996
"Europe","eu","Yugoslavia","euyug","yug",2859,1996
"North America","na","Canada","nacan","can",663891.9999999999,1996
"North America","na","Jamaica","najam","jam",25088.000000000004,1996
"North America","na","Mexico","namex","mex",7000,1996
"North America","na","Panama","napan","pan",56919,1996
"North America","na","United States","nausa","usa",363526,1996
"Oceania","oc","Australia","ocaus","aus",261676,1996
"Oceania","oc","New Zealand","ocnzl","nzl",166320,1996
"South America","sa","Brazil","sabra","bra",177119.00000000003,1996
"South America","sa","Chile","sachl","chl",112551187,1996
"Africa","af","Cote d'Ivoire","afciv","civ",169783,1997
"Africa","af","Democratic Republic of the Congo","afcod","cod",1761.9999999999998,1997
"Africa","af","Algeria","afdza","dza",4545304,1997
"Africa","af","Egypt","afegy","egy",1070700,1997
"Africa","af","Kenya","afken","ken",270962,1997
"Africa","af","South Africa","afzaf","zaf",1826403,1997
"Asia","as","Bahrain","asbhr","bhr",8154092,1997
"Asia","as","Bhutan","asbtn","btn",374788,1997
"Asia","as","China","aschn","chn",101796323,1997
"Asia","as","Hong Kong","ashkg","hkg",1124960,1997
"Asia","as","Indonesia","asidn","idn",2617318,1997
"Asia","as","India","asind","ind",70957745,1997
"Asia","as","Iran","asirn","irn",6567450,1997
"Asia","as","Jordan","asjor","jor",736725,1997
"Asia","as","Japan","asjpn","jpn",3338145,1997
"Asia","as","South Korea","askor","kor",4080508,1997
"Asia","as","Kuwait","askwt","kwt",11081086.000000002,1997
"Asia","as","Sri Lanka","aslka","lka",7372.000000000001,1997
"Asia","as","Malaysia","asmys","mys",27662015,1997
"Asia","as","Nepal","asnpl","npl",76172,1997
"Asia","as","Oman","asomn","omn",780,1997
"Asia","as","Pakistan","aspak","pak",4613263,1997
"Asia","as","Philippines","asphl","phl",25016,1997
"Asia","as","North Korea","asprk","prk",217634,1997
"Asia","as","Qatar","asqat","qat",11566293,1997
"Asia","as","Saudi Arabia","assau","sau",103900722,1997
"Asia","as","Singapore","assgp","sgp",251943962.00000003,1997
"Asia","as","Thailand","astha","tha",12479373,1997
"Asia","as","Turkey","astur","tur",50711,1997
"Asia","as","Chinese Taipei","astwn","twn",3005584,1997
"Europe","eu","Belgium-Luxembourg","eublx","blx",107927,1997
"Europe","eu","Switzerland","euche","che",16946,1997
"Europe","eu","Czechia","eucze","cze",51355,1997
"Europe","eu","Germany","eudeu","deu",483578,1997
"Europe","eu","Denmark","eudnk","dnk",34899,1997
"Europe","eu","Spain","euesp","esp",1945237,1997
"Europe","eu","Finland","eufin","fin",17022.000000000004,1997
"Europe","eu","France","eufra","fra",1493530,1997
"Europe","eu","United Kingdom","eugbr","gbr",2367762,1997
"Europe","eu","Gibraltar","eugib","gib",11399,1997
"Europe","eu","Greece","eugrc","grc",255822,1997
"Europe","eu","Hungary","euhun","hun",341065,1997
"Europe","eu","Italy","euita","ita",8194851,1997
"Europe","eu","Malta","eumlt","mlt",130616.00000000001,1997
"Europe","eu","Netherlands","eunld","nld",1430757,1997
"Europe","eu","Norway","eunor","nor",5775,1997
"Europe","eu","Poland","eupol","pol",14866,1997
"Europe","eu","Portugal","euprt","prt",504977.00000000006,1997
"Europe","eu","Russia","eurus","rus",20425,1997
"Europe","eu","Slovenia","eusvn","svn",524,1997
"Europe","eu","Sweden","euswe","swe",259497,1997
"Europe","eu","Ukraine","euukr","ukr",5502.999999999999,1997
"Europe","eu","Yugoslavia","euyug","yug",735,1997
"North America","na","Canada","nacan","can",591775,1997
"North America","na","Panama","napan","pan",398557.99999999994,1997
"North America","na","Trinidad and Tobago","natto","tto",31581.999999999996,1997
"North America","na","United States","nausa","usa",554592,1997
"Oceania","oc","Australia","ocaus","aus",283233,1997
"Oceania","oc","New Zealand","ocnzl","nzl",112090,1997
"South America","sa","Argentina","saarg","arg",14069,1997
"South America","sa","Brazil","sabra","bra",240860,1997
"South America","sa","Chile","sachl","chl",44745130,1997
"Africa","af","Cote d'Ivoire","afciv","civ",132198.99999999997,1998
"Africa","af","Cape Verde","afcpv","cpv",7412.999999999999,1998
"Africa","af","Algeria","afdza","dza",1727831,1998
"Africa","af","Egypt","afegy","egy",1081116,1998
"Africa","af","Kenya","afken","ken",211779.00000000003,1998
"Africa","af","South Africa","afzaf","zaf",242413,1998
"Asia","as","United Arab Emirates","asare","are",1761639,1998
"Asia","as","Bahrain","asbhr","bhr",8099149,1998
"Asia","as","Bhutan","asbtn","btn",447892,1998
"Asia","as","China","aschn","chn",45725410,1998
"Asia","as","Christmas Island","ascxr","cxr",38326,1998
"Asia","as","Hong Kong","ashkg","hkg",56158,1998
"Asia","as","Indonesia","asidn","idn",41723309,1998
"Asia","as","India","asind","ind",63886299,1998
"Asia","as","Iran","asirn","irn",2925349,1998
"Asia","as","Jordan","asjor","jor",34370,1998
"Asia","as","Japan","asjpn","jpn",2010132,1998
"Asia","as","South Korea","askor","kor",5343493,1998
"Asia","as","Kuwait","askwt","kwt",68348434.00000001,1998
"Asia","as","Sri Lanka","aslka","lka",13298,1998
"Asia","as","Macau","asmac","mac",930,1998
"Asia","as","Malaysia","asmys","mys",17469057,1998
"Asia","as","Nepal","asnpl","npl",105101,1998
"Asia","as","Oman","asomn","omn",46418,1998
"Asia","as","Pakistan","aspak","pak",3690671,1998
"Asia","as","Philippines","asphl","phl",15787,1998
"Asia","as","North Korea","asprk","prk",949795.0000000001,1998
"Asia","as","Qatar","asqat","qat",1698481,1998
"Asia","as","Saudi Arabia","assau","sau",78549254,1998
"Asia","as","Singapore","assgp","sgp",154165966,1998
"Asia","as","Syria","assyr","syr",412157,1998
"Asia","as","Thailand","astha","tha",18519963,1998
"Asia","as","Turkey","astur","tur",76939,1998
"Asia","as","Chinese Taipei","astwn","twn",2712246,1998
"Europe","eu","Bulgaria","eubgr","bgr",50183,1998
"Europe","eu","Belarus","eublr","blr",1195754,1998
"Europe","eu","Belgium-Luxembourg","eublx","blx",71847,1998
"Europe","eu","Germany","eudeu","deu",396179,1998
"Europe","eu","Denmark","eudnk","dnk",44768,1998
"Europe","eu","Spain","euesp","esp",99295,1998
"Europe","eu","France","eufra","fra",53715,1998
"Europe","eu","United Kingdom","eugbr","gbr",1494944,1998
"Europe","eu","Greece","eugrc","grc",173069,1998
"Europe","eu","Italy","euita","ita",442272,1998
"Europe","eu","Netherlands","eunld","nld",376167,1998
"Europe","eu","Portugal","euprt","prt",1891994.9999999998,1998
"Europe","eu","Russia","eurus","rus",56333,1998
"Europe","eu","Sweden","euswe","swe",91993,1998
"North America","na","Canada","nacan","can",485246,1998
"North America","na","Guatemala","nagtm","gtm",62582,1998
"North America","na","Mexico","namex","mex",40102,1998
"North America","na","United States Minor Outlying Islands","naumi","umi",37150.99999999999,1998
"North America","na","United States","nausa","usa",2236635,1998
"Oceania","oc","Australia","ocaus","aus",575837,1998
"Oceania","oc","New Zealand","ocnzl","nzl",271659.99999999994,1998
"Oceania","oc","French Polynesia","ocpyf","pyf",6260,1998
"South America","sa","Brazil","sabra","bra",494586,1998
"Africa","af","Cote d'Ivoire","afciv","civ",69053,1999
"Africa","af","Kenya","afken","ken",120002.99999999999,1999
"Africa","af","Tunisia","aftun","tun",15274,1999
"Africa","af","South Africa","afzaf","zaf",355551,1999
"Asia","as","Bhutan","asbtn","btn",771255,1999
"Asia","as","China","aschn","chn",8615079,1999
"Asia","as","Hong Kong","ashkg","hkg",163758,1999
"Asia","as","Indonesia","asidn","idn",39530556,1999
"Asia","as","India","asind","ind",55722549,1999
"Asia","as","Iran","asirn","irn",8506360,1999
"Asia","as","Jordan","asjor","jor",451340,1999
"Asia","as","Japan","asjpn","jpn",2306019,1999
"Asia","as","South Korea","askor","kor",1444024,1999
"Asia","as","Sri Lanka","aslka","lka",7573,1999
"Asia","as","Malaysia","asmys","mys",9140620,1999
"Asia","as","Nepal","asnpl","npl",32534.999999999996,1999
"Asia","as","Philippines","asphl","phl",38907,1999
"Asia","as","Singapore","assgp","sgp",230584237,1999
"Asia","as","Thailand","astha","tha",19677446,1999
"Asia","as","Turkey","astur","tur",86894,1999
