"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Asia","as","China","aschn","chn",2723775,1995
"Asia","as","Hong Kong","ashkg","hkg",444481,1995
"Asia","as","Indonesia","asidn","idn",8029587,1995
"Asia","as","India","asind","ind",8681755,1995
"Asia","as","Iran","asirn","irn",16646,1995
"Asia","as","Japan","asjpn","jpn",11521710,1995
"Asia","as","South Korea","askor","kor",1142711,1995
"Asia","as","Kuwait","askwt","kwt",5167.999999999999,1995
"Asia","as","Sri Lanka","aslka","lka",637769,1995
"Asia","as","Burma","asmmr","mmr",6116.000000000001,1995
"Asia","as","Malaysia","asmys","mys",3016003,1995
"Asia","as","Pakistan","aspak","pak",299121,1995
"Asia","as","Saudi Arabia","assau","sau",21054,1995
"Asia","as","Singapore","assgp","sgp",3269170,1995
"Asia","as","Thailand","astha","tha",2368014,1995
"Asia","as","Turkey","astur","tur",117426,1995
"Asia","as","Chinese Taipei","astwn","twn",103949,1995
"Europe","eu","Austria","euaut","aut",26913,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",1168496,1995
"Europe","eu","Switzerland","euche","che",7993.000000000001,1995
"Europe","eu","Czechia","eucze","cze",103080,1995
"Europe","eu","Germany","eudeu","deu",1624669,1995
"Europe","eu","Denmark","eudnk","dnk",68939,1995
"Europe","eu","Spain","euesp","esp",1305867,1995
"Europe","eu","France","eufra","fra",1273879,1995
"Europe","eu","United Kingdom","eugbr","gbr",1111908,1995
"Europe","eu","Greece","eugrc","grc",10148,1995
"Europe","eu","Croatia","euhrv","hrv",8299,1995
"Europe","eu","Italy","euita","ita",835741,1995
"Europe","eu","Netherlands","eunld","nld",30097.999999999996,1995
"Europe","eu","Norway","eunor","nor",164060,1995
"Europe","eu","Portugal","euprt","prt",133973,1995
"Europe","eu","Sweden","euswe","swe",209090,1995
"North America","na","Canada","nacan","can",115749,1995
"North America","na","United States","nausa","usa",1623859,1995
"Oceania","oc","Australia","ocaus","aus",50084.99999999999,1995
"South America","sa","Brazil","sabra","bra",127162,1995
"Africa","af","Malawi","afmwi","mwi",19247,1996
"Africa","af","South Africa","afzaf","zaf",10516,1996
"Asia","as","United Arab Emirates","asare","are",113943,1996
"Asia","as","China","aschn","chn",3039544,1996
"Asia","as","Christmas Island","ascxr","cxr",24042,1996
"Asia","as","Hong Kong","ashkg","hkg",715405,1996
"Asia","as","Indonesia","asidn","idn",5264243,1996
"Asia","as","India","asind","ind",5947665,1996
"Asia","as","Japan","asjpn","jpn",7993622,1996
"Asia","as","South Korea","askor","kor",801960,1996
"Asia","as","Kuwait","askwt","kwt",11335.999999999998,1996
"Asia","as","Sri Lanka","aslka","lka",997804,1996
"Asia","as","Malaysia","asmys","mys",2188240,1996
"Asia","as","Pakistan","aspak","pak",99845,1996
"Asia","as","Philippines","asphl","phl",59378,1996
"Asia","as","North Korea","asprk","prk",78534,1996
"Asia","as","Saudi Arabia","assau","sau",5422.000000000001,1996
"Asia","as","Singapore","assgp","sgp",2952325,1996
"Asia","as","Syria","assyr","syr",104063,1996
"Asia","as","Thailand","astha","tha",2414152,1996
"Asia","as","Turkey","astur","tur",81286,1996
"Asia","as","Chinese Taipei","astwn","twn",344155,1996
"Europe","eu","Austria","euaut","aut",57772.99999999999,1996
"Europe","eu","Belgium-Luxembourg","eublx","blx",1148383,1996
"Europe","eu","Switzerland","euche","che",14363.999999999998,1996
"Europe","eu","Czechia","eucze","cze",28226,1996
"Europe","eu","Germany","eudeu","deu",1166244,1996
"Europe","eu","Denmark","eudnk","dnk",29951,1996
"Europe","eu","Spain","euesp","esp",1734872.0000000002,1996
"Europe","eu","Finland","eufin","fin",11280,1996
"Europe","eu","France","eufra","fra",409119,1996
"Europe","eu","United Kingdom","eugbr","gbr",920122,1996
"Europe","eu","Greece","eugrc","grc",54884,1996
"Europe","eu","Iceland","euisl","isl",895,1996
"Europe","eu","Italy","euita","ita",1650986,1996
"Europe","eu","Netherlands","eunld","nld",190469,1996
"Europe","eu","Portugal","euprt","prt",36687,1996
"Europe","eu","Russia","eurus","rus",34965,1996
"Europe","eu","Slovenia","eusvn","svn",1726,1996
"Europe","eu","Sweden","euswe","swe",4300017,1996
"Europe","eu","Ukraine","euukr","ukr",6320,1996
"North America","na","Bahamas","nabhs","bhs",3318,1996
"North America","na","Canada","nacan","can",632,1996
"North America","na","Jamaica","najam","jam",41659,1996
"North America","na","Mexico","namex","mex",11127,1996
"North America","na","United States","nausa","usa",1395792,1996
"Oceania","oc","Australia","ocaus","aus",308976,1996
"South America","sa","Brazil","sabra","bra",160366,1996
"South America","sa","Chile","sachl","chl",1925661,1996
"South America","sa","Venezuela","saven","ven",23945,1996
"Africa","af","Egypt","afegy","egy",43264,1997
"Africa","af","Sudan","afsdn","sdn",29888,1997
"Africa","af","Uganda","afuga","uga",905,1997
"Africa","af","South Africa","afzaf","zaf",199572,1997
"Asia","as","China","aschn","chn",11170225,1997
"Asia","as","Hong Kong","ashkg","hkg",1110019,1997
"Asia","as","Indonesia","asidn","idn",3976790,1997
"Asia","as","India","asind","ind",6492538,1997
"Asia","as","Iran","asirn","irn",328476,1997
"Asia","as","Japan","asjpn","jpn",8155066,1997
"Asia","as","South Korea","askor","kor",914923,1997
"Asia","as","Kuwait","askwt","kwt",8862,1997
"Asia","as","Sri Lanka","aslka","lka",1113738,1997
"Asia","as","Malaysia","asmys","mys",1405049,1997
"Asia","as","Pakistan","aspak","pak",490646,1997
"Asia","as","Philippines","asphl","phl",101073,1997
"Asia","as","North Korea","asprk","prk",19753,1997
"Asia","as","Saudi Arabia","assau","sau",271300,1997
"Asia","as","Singapore","assgp","sgp",1659260,1997
"Asia","as","Syria","assyr","syr",17197,1997
"Asia","as","Thailand","astha","tha",2637502,1997
"Asia","as","Turkey","astur","tur",559796,1997
"Asia","as","Chinese Taipei","astwn","twn",2191708,1997
"Asia","as","Yemen","asyem","yem",7103,1997
"Europe","eu","Austria","euaut","aut",528304,1997
"Europe","eu","Belgium-Luxembourg","eublx","blx",1258079,1997
"Europe","eu","Switzerland","euche","che",4040,1997
"Europe","eu","Czechia","eucze","cze",42497,1997
"Europe","eu","Germany","eudeu","deu",1037916,1997
"Europe","eu","Denmark","eudnk","dnk",33608.00000000001,1997
"Europe","eu","Spain","euesp","esp",2022092,1997
"Europe","eu","Finland","eufin","fin",4703,1997
"Europe","eu","France","eufra","fra",402494,1997
"Europe","eu","United Kingdom","eugbr","gbr",1254398,1997
"Europe","eu","Greece","eugrc","grc",209688,1997
"Europe","eu","Iceland","euisl","isl",4151,1997
"Europe","eu","Italy","euita","ita",974823,1997
"Europe","eu","Netherlands","eunld","nld",22582,1997
"Europe","eu","Portugal","euprt","prt",21582,1997
"Europe","eu","Russia","eurus","rus",14648,1997
"Europe","eu","Sweden","euswe","swe",167620,1997
"Europe","eu","Ukraine","euukr","ukr",4218,1997
"North America","na","Honduras","nahnd","hnd",2430,1997
"North America","na","Mexico","namex","mex",9547,1997
"North America","na","United States Minor Outlying Islands","naumi","umi",10068.999999999998,1997
"North America","na","United States","nausa","usa",958469,1997
"North America","na","British Virgin Islands","navgb","vgb",4416,1997
"Oceania","oc","Australia","ocaus","aus",99559,1997
"Oceania","oc","New Caledonia","ocncl","ncl",3143.0000000000005,1997
"South America","sa","Brazil","sabra","bra",136539,1997
"Africa","af","Egypt","afegy","egy",30065,1998
"Africa","af","Tunisia","aftun","tun",104414,1998
"Africa","af","Tanzania","aftza","tza",1554,1998
"Africa","af","South Africa","afzaf","zaf",62591,1998
"Asia","as","United Arab Emirates","asare","are",524815,1998
"Asia","as","China","aschn","chn",7173684,1998
"Asia","as","Christmas Island","ascxr","cxr",8999,1998
"Asia","as","Hong Kong","ashkg","hkg",319604,1998
"Asia","as","Indonesia","asidn","idn",4937368,1998
"Asia","as","India","asind","ind",5921003,1998
"Asia","as","Iran","asirn","irn",99131,1998
"Asia","as","Japan","asjpn","jpn",8799190,1998
"Asia","as","South Korea","askor","kor",1016089,1998
"Asia","as","Kuwait","askwt","kwt",57181,1998
"Asia","as","Sri Lanka","aslka","lka",992507,1998
"Asia","as","Malaysia","asmys","mys",1289355,1998
"Asia","as","Nepal","asnpl","npl",21249.000000000004,1998
"Asia","as","Pakistan","aspak","pak",289956,1998
"Asia","as","Philippines","asphl","phl",233085.00000000003,1998
"Asia","as","North Korea","asprk","prk",60014,1998
"Asia","as","Saudi Arabia","assau","sau",615589,1998
"Asia","as","Singapore","assgp","sgp",2420084,1998
"Asia","as","Thailand","astha","tha",3438053,1998
"Asia","as","Turkey","astur","tur",1131937,1998
"Asia","as","Chinese Taipei","astwn","twn",1438816,1998
"Asia","as","Vietnam","asvnm","vnm",5875,1998
"Europe","eu","Austria","euaut","aut",19398,1998
"Europe","eu","Belgium-Luxembourg","eublx","blx",1183800,1998
"Europe","eu","Switzerland","euche","che",29091,1998
"Europe","eu","Czechia","eucze","cze",197032,1998
"Europe","eu","Germany","eudeu","deu",938481,1998
"Europe","eu","Denmark","eudnk","dnk",20373,1998
"Europe","eu","Spain","euesp","esp",3504173.0000000005,1998
"Europe","eu","France","eufra","fra",613298,1998
"Europe","eu","United Kingdom","eugbr","gbr",796319,1998
"Europe","eu","Gibraltar","eugib","gib",523,1998
"Europe","eu","Greece","eugrc","grc",68906,1998
