"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Asia","as","Bahrain","asbhr","bhr",2090.9999999999995,1995
"Asia","as","China","aschn","chn",36474293,1995
"Asia","as","Hong Kong","ashkg","hkg",871825,1995
"Asia","as","Indonesia","asidn","idn",392044,1995
"Asia","as","India","asind","ind",94628386,1995
"Asia","as","Iran","asirn","irn",4343.999999999999,1995
"Asia","as","Japan","asjpn","jpn",109358841,1995
"Asia","as","South Korea","askor","kor",7857669,1995
"Asia","as","Malaysia","asmys","mys",1367667,1995
"Asia","as","Pakistan","aspak","pak",414061,1995
"Asia","as","Saudi Arabia","assau","sau",20558,1995
"Asia","as","Singapore","assgp","sgp",18874932,1995
"Asia","as","Thailand","astha","tha",4856024,1995
"Asia","as","Chinese Taipei","astwn","twn",3364672,1995
"Europe","eu","Austria","euaut","aut",234045,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",189029,1995
"Europe","eu","Switzerland","euche","che",5986,1995
"Europe","eu","Czechia","eucze","cze",372362,1995
"Europe","eu","Germany","eudeu","deu",29644053,1995
"Europe","eu","Denmark","eudnk","dnk",24138,1995
"Europe","eu","Spain","euesp","esp",3407975.9999999995,1995
"Europe","eu","Finland","eufin","fin",17102,1995
"Europe","eu","France","eufra","fra",6504723,1995
"Europe","eu","United Kingdom","eugbr","gbr",11611528,1995
"Europe","eu","Greece","eugrc","grc",1616092,1995
"Europe","eu","Hungary","euhun","hun",177000,1995
"Europe","eu","Italy","euita","ita",6810701,1995
"Europe","eu","Latvia","eulva","lva",186835,1995
"Europe","eu","Netherlands","eunld","nld",728124,1995
"Europe","eu","Norway","eunor","nor",26138,1995
"Europe","eu","Russia","eurus","rus",3649824,1995
"Europe","eu","Sweden","euswe","swe",9001268.999999998,1995
"North America","na","Canada","nacan","can",20406,1995
"North America","na","Honduras","nahnd","hnd",102318,1995
"North America","na","United States","nausa","usa",6317787,1995
"Oceania","oc","Australia","ocaus","aus",286016,1995
"South America","sa","Brazil","sabra","bra",58175,1995
"Africa","af","Libya","aflby","lby",2531,1996
"Africa","af","South Africa","afzaf","zaf",18873,1996
"Asia","as","United Arab Emirates","asare","are",69616,1996
"Asia","as","Bahrain","asbhr","bhr",6095,1996
"Asia","as","Brunei","asbrn","brn",561785,1996
"Asia","as","China","aschn","chn",35855224,1996
"Asia","as","Hong Kong","ashkg","hkg",840100,1996
"Asia","as","Indonesia","asidn","idn",197095,1996
"Asia","as","India","asind","ind",92549661,1996
"Asia","as","Japan","asjpn","jpn",100093191,1996
"Asia","as","South Korea","askor","kor",6860807,1996
"Asia","as","Lebanon","aslbn","lbn",5904,1996
"Asia","as","Sri Lanka","aslka","lka",126915,1996
"Asia","as","Macau","asmac","mac",5149,1996
"Asia","as","Malaysia","asmys","mys",1267980,1996
"Asia","as","Oman","asomn","omn",20185,1996
"Asia","as","Pakistan","aspak","pak",1590395,1996
"Asia","as","Philippines","asphl","phl",2695,1996
"Asia","as","North Korea","asprk","prk",14890,1996
"Asia","as","Saudi Arabia","assau","sau",53417.00000000001,1996
"Asia","as","Singapore","assgp","sgp",24359052,1996
"Asia","as","Thailand","astha","tha",514447,1996
"Asia","as","Turkey","astur","tur",5178.999999999999,1996
"Asia","as","Chinese Taipei","astwn","twn",702008,1996
"Asia","as","Yemen","asyem","yem",144553,1996
"Europe","eu","Austria","euaut","aut",1179456,1996
