"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Egypt","afegy","egy",809,1995
"Africa","af","Kenya","afken","ken",146014,1995
"Africa","af","Morocco","afmar","mar",39522,1995
"Africa","af","Sudan","afsdn","sdn",3963659,1995
"Africa","af","Somalia","afsom","som",23520,1995
"Africa","af","South Africa","afzaf","zaf",86049,1995
"Asia","as","Afghanistan","asafg","afg",3886636,1995
"Asia","as","United Arab Emirates","asare","are",396616,1995
"Asia","as","Hong Kong","ashkg","hkg",141283,1995
"Asia","as","Indonesia","asidn","idn",2986139,1995
"Asia","as","India","asind","ind",119949,1995
"Asia","as","Iran","asirn","irn",146529,1995
"Asia","as","Jordan","asjor","jor",1947592.9999999998,1995
"Asia","as","Japan","asjpn","jpn",511229.9999999999,1995
"Asia","as","South Korea","askor","kor",991,1995
"Asia","as","Kuwait","askwt","kwt",49388.00000000001,1995
"Asia","as","Sri Lanka","aslka","lka",27918,1995
"Asia","as","Malaysia","asmys","mys",14078,1995
"Asia","as","Oman","asomn","omn",924410,1995
"Asia","as","Pakistan","aspak","pak",6681463,1995
"Asia","as","North Korea","asprk","prk",43563.99999999999,1995
"Asia","as","Qatar","asqat","qat",15907,1995
"Asia","as","Saudi Arabia","assau","sau",1128230,1995
"Asia","as","Singapore","assgp","sgp",222170,1995
"Europe","eu","Germany","eudeu","deu",127134,1995
"Europe","eu","France","eufra","fra",3608,1995
"Europe","eu","United Kingdom","eugbr","gbr",6809760.000000001,1995
"Europe","eu","Greece","eugrc","grc",13682,1995
"Europe","eu","Hungary","euhun","hun",64899,1995
"Europe","eu","Italy","euita","ita",75653,1995
"Europe","eu","Malta","eumlt","mlt",529,1995
"Europe","eu","Netherlands","eunld","nld",117524.99999999999,1995
"Europe","eu","Norway","eunor","nor",19348,1995
"Europe","eu","Poland","eupol","pol",12394284,1995
"Europe","eu","Romania","eurou","rou",1103,1995
"Europe","eu","Russia","eurus","rus",6519824,1995
"Europe","eu","Sweden","euswe","swe",418197,1995
"North America","na","Bahamas","nabhs","bhs",700,1995
"North America","na","Canada","nacan","can",38545,1995
"North America","na","Saint Kitts and Nevis","nakna","kna",659,1995
"North America","na","Panama","napan","pan",861,1995
"North America","na","United States","nausa","usa",113830,1995
"Oceania","oc","Australia","ocaus","aus",77835,1995
"South America","sa","Argentina","saarg","arg",31816.999999999996,1995
"South America","sa","Uruguay","saury","ury",22351,1995
"Africa","af","Egypt","afegy","egy",1664.0000000000002,1996
"Africa","af","Kenya","afken","ken",179479,1996
"Africa","af","Sudan","afsdn","sdn",4911368,1996
"Africa","af","Somalia","afsom","som",3528,1996
"Asia","as","Afghanistan","asafg","afg",1226195,1996
"Asia","as","United Arab Emirates","asare","are",371029,1996
"Asia","as","Bahrain","asbhr","bhr",21083.000000000004,1996
"Asia","as","Bhutan","asbtn","btn",131680,1996
"Asia","as","China","aschn","chn",239158,1996
"Asia","as","Indonesia","asidn","idn",5927,1996
"Asia","as","India","asind","ind",99260.00000000001,1996
"Asia","as","Iran","asirn","irn",603098.0000000001,1996
"Asia","as","Jordan","asjor","jor",1921816,1996
"Asia","as","Japan","asjpn","jpn",996812,1996
"Asia","as","South Korea","askor","kor",33678,1996
"Asia","as","Sri Lanka","aslka","lka",2005.9999999999998,1996
