"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Madagascar","afmdg","mdg",41466,1995
"Asia","as","Bhutan","asbtn","btn",5942772,1995
"Asia","as","China","aschn","chn",3141407,1995
"Asia","as","Hong Kong","ashkg","hkg",220967,1995
"Asia","as","Indonesia","asidn","idn",582549,1995
"Asia","as","India","asind","ind",295876285,1995
"Asia","as","Iran","asirn","irn",2335595,1995
"Asia","as","Japan","asjpn","jpn",1968922,1995
"Asia","as","South Korea","askor","kor",913706,1995
"Asia","as","Kuwait","askwt","kwt",305823,1995
"Asia","as","Sri Lanka","aslka","lka",197509,1995
"Asia","as","Burma","asmmr","mmr",21135460,1995
"Asia","as","Malaysia","asmys","mys",3232451,1995
"Asia","as","Nepal","asnpl","npl",2390,1995
"Asia","as","Pakistan","aspak","pak",57558111.99999999,1995
"Asia","as","Saudi Arabia","assau","sau",218702,1995
"Asia","as","Singapore","assgp","sgp",6862281,1995
"Asia","as","Thailand","astha","tha",22587427,1995
"Asia","as","Chinese Taipei","astwn","twn",442175,1995
"Europe","eu","Austria","euaut","aut",1113402,1995
"Europe","eu","Belgium-Luxembourg","eublx","blx",2163894,1995
"Europe","eu","Switzerland","euche","che",23819,1995
"Europe","eu","Germany","eudeu","deu",355796,1995
"Europe","eu","Denmark","eudnk","dnk",9246782,1995
"Europe","eu","France","eufra","fra",33753563,1995
"Europe","eu","United Kingdom","eugbr","gbr",23641883,1995
"Europe","eu","Italy","euita","ita",754516,1995
"Europe","eu","Netherlands","eunld","nld",495986,1995
"Europe","eu","Poland","eupol","pol",6807000,1995
"Europe","eu","Portugal","euprt","prt",47186.00000000001,1995
"Europe","eu","Russia","eurus","rus",2058291,1995
"Europe","eu","Sweden","euswe","swe",4314,1995
"North America","na","Canada","nacan","can",46071175,1995
"North America","na","Guatemala","nagtm","gtm",574795,1995
"North America","na","Trinidad and Tobago","natto","tto",8023,1995
"North America","na","United States","nausa","usa",152559002,1995
"Oceania","oc","Australia","ocaus","aus",57448794,1995
